,Common Name,Type,Family,Native Range,Zone,Height,Spread,Bloom Time,Bloom Description,Sun,Water,Maintenance,Suggested Use,Flower,Tolerate,Invasive,Leaf,Attracts,Fruit,Other
Erythronium americanum, yellow adder's tongue , Herbaceous perennial, Liliaceae, Eastern North America, 3 to 8, 0.25 to 0.50 feet, 0.25 to 0.50 feet, April, Yellow, Part shade to full shade, Medium, Medium, Naturalize, Showy,,, Colorful,,,
Eschscholzia californica, California poppy , Herbaceous perennial, Papaveraceae, Western United States, 6 to 10, 1.00 to 1.50 feet, 1.00 to 1.50 feet, June to July, Orange to orange-yellow, Full sun, Medium, Low, Annual, Showy,, Where is this species invasive in the US?,,,,
Euonymus americanus, strawberry bush , Deciduous shrub, Celastraceae, Eastern United States, 6 to 9, 4.00 to 6.00 feet, 4.00 to 6.00 feet, May to June, Green to greenish-yellow with purple stamens, Part shade, Medium, Low," Hedge, Naturalize", Insignificant," Clay Soil, Black Walnut",, Good Fall, Birds, Showy,
Euonymus atropurpureus, eastern wahoo , Deciduous shrub, Celastraceae, Eastern North America, 3 to 7, 12.00 to 20.00 feet, 15.00 to 25.00 feet, June, Dk. purple, Full sun to part shade, Medium, Low, Rain Garden,, Black Walnut,, Good Fall, Birds, Showy,
Eupatorium altissimum, tall thoroughwort , Herbaceous perennial, Asteraceae, Central-eastern and southeastern United States, 4 to 8, 2.00 to 6.00 feet, 2.00 to 3.00 feet, August to October, White, Full sun to part shade, Dry to medium, Medium, Naturalize, Showy," Deer, Drought, Dry Soil",,, Butterflies,,
Eupatorium capillifolium, dogfennel , Herbaceous perennial, Asteraceae, Southeastern United States, 6 to 9, 3.00 to 6.00 feet, 2.00 to 3.00 feet, September to November, Greenish-white, Full sun to part shade, Medium, Low, Naturalize, Showy,,,,,,
Eupatorium perfoliatum, American boneset , Herbaceous perennial, Asteraceae, Southeastern United States, 3 to 8, 4.00 to 6.00 feet, 3.00 to 4.00 feet, July to September, White, Full sun to part shade, Medium to wet, Low, Rain Garden," Showy, Good Cut, Good Dried"," Deer, Clay Soil, Wet Soil",,, Butterflies,,
Eurybia divaricata, white wood aster , Herbaceous perennial, Asteraceae, Eastern North America, 3 to 8, 1.00 to 2.50 feet, 1.50 to 2.50 feet, August to September, White with yellow to red centers, Part shade to full shade, Dry to medium, Low,, Showy," Drought, Heavy Shade, Dry Soil, Shallow-Rocky Soil",,, Butterflies,,
Eutrochium fistulosum, Joe-pyeweed , Herbaceous perennial, Asteraceae, Eastern North America, 4 to 8, 4.00 to 7.00 feet, 2.00 to 4.00 feet, July to September, Dusky rose, Full sun to part shade, Medium to wet, Low," Naturalize, Rain Garden"," Showy, Good Cut, Good Dried"," Deer, Wet Soil",, Good Fall, Butterflies,,
Eutrochium purpureum, Joe Pye weed , Herbaceous perennial, Asteraceae, Eastern and central North America, 4 to 9, 5.00 to 7.00 feet, 2.00 to 4.00 feet, July to September, Mauve pink, Full sun to part shade, Medium, Low," Water Plant, Naturalize, Rain Garden"," Showy, Fragrant"," Deer, Clay Soil, Wet Soil",,, Butterflies,,
Fagus grandifolia, American beech , Tree, Fagaceae, Eastern North America, 3 to 9, 50.00 to 80.00 feet, 40.00 to 80.00 feet, April to May, Yellowish-green, Full sun to part shade, Medium, Low, Shade Tree, Insignificant," Deer, Black Walnut",, Good Fall,," Showy, Edible",
Fothergilla gardenii, dwarf fothergilla , Deciduous shrub, Hamamelidaceae, Southeastern United States, 5 to 8, 1.50 to 3.00 feet, 2.00 to 4.00 feet, April to May, White, Full sun to part shade, Medium, Low, Hedge," Showy, Fragrant",,, Good Fall,,,
Fothergilla major, witch-alder , Deciduous shrub, Hamamelidaceae, Southeastern United States, 4 to 8, 6.00 to 10.00 feet, 5.00 to 9.00 feet, April to May, White, Full sun to part shade, Medium, Low, Hedge," Showy, Fragrant",,, Good Fall,,,
Fragaria virginiana, scarlet strawberry , Herbaceous perennial, Rosaceae, Eastern North America, 5 to 9, 0.25 to 0.75 feet, 1.00 to 2.00 feet, April to May, white, Full sun to part shade, Medium, Medium," Ground Cover, Naturalize", Showy," Deer, Drought, Erosion",,, Birds," Showy, Edible",
Fraxinus americana, white ash , Tree, Oleaceae, Eastern North America, 3 to 9, 60.00 to 80.00 feet, 60.00 to 80.00 feet, April to May, Purplish, Full sun, Medium, Medium," Shade Tree, Street Tree", Showy," Deer, Black Walnut",, Good Fall, Birds,,
Fraxinus pennsylvanica, green ash , Tree, Oleaceae, North America, 3 to 9, 50.00 to 70.00 feet, 35.00 to 50.00 feet, April to May, Purple, Full sun, Medium, Medium," Shade Tree, Street Tree",," Deer, Wet Soil, Air Pollution",,, Birds,,
Fraxinus profunda, pumpkin ash , Tree, Oleaceae, Eastern United States, 5 to 9, 60.00 to 80.00 feet, 30.00 to 50.00 feet, April to May, Green, Full sun, Medium to wet, Medium, Rain Garden, Insignificant," Deer, Clay Soil",, Good Fall,,,
Fraxinus quadrangulata, blue ash , Tree, Oleaceae, North America, 4 to 7, 50.00 to 75.00 feet, 35.00 to 60.00 feet, April to May, Purple, Full sun, Dry to medium, Medium," Shade Tree, Street Tree", Insignificant," Deer, Drought",,, Birds,,
Gaillardia aestivalis, lance leaf blanket flower , Herbaceous perennial, Asteraceae, Southeastern United States, 5 to 9, 1.00 to 1.50 feet, 0.75 to 1.00 feet, May to October, Yellow rays with brownish-purple center cone, Full sun, Dry to medium, Low, Naturalize," Showy, Good Cut", Drought,,, Butterflies,,
Gaillardia pulchella, Indian blanket , Annual, Asteraceae," Eastern and south-central United States, Mexico", 2 to 11, 1.00 to 1.50 feet, 0.50 to 1.00 feet, June to frost," Red, yellow on red/yellow bicolor with dark centers", Full sun, Dry to medium, Low," Annual, Naturalize", Showy, Drought, Where is this species invasive in the US?,," Birds, Butterflies",,
Galearis spectabilis, orchid , Herbaceous perennial, Orchidaceae, Eastern and central North America, 4 to 7, 0.25 to 0.75 feet, 0.25 to 0.50 feet, April to May, Purple-rose and white, Part shade to full shade, Medium, Medium,," Showy, Fragrant",,,,,,
Gaultheria procumbens, wintergreen , Broadleaf evergreen, Ericaceae, Eastern North America, 3 to 8, 0.25 to 0.50 feet, 0.50 to 1.00 feet, June to July, White, Part shade to full shade, Medium, Low," Ground Cover, Naturalize", Showy, Heavy Shade,, Evergreen,," Showy, Edible", Winter Interest
Gelsemium sempervirens, Carolina yellow jasmine , Vine, Gelsemiaceae," Southern United States, Mexico, Guatemala", 7 to 10, 12.00 to 20.00 feet, 3.00 to 6.00 feet, February to April, Yellow, Full sun, Medium, Low,," Showy, Fragrant",,,,,,
Geranium maculatum, wild geranium , Herbaceous perennial, Geraniaceae, Eastern North America, 3 to 8, 1.50 to 2.00 feet, 1.00 to 1.50 feet, April to May," Pale pink, deep pink, lilac", Full sun to part shade, Medium, Medium,, Showy," Rabbit, Deer, Drought, Dry Soil",,, Butterflies,,
Gillenia stipulata, American ipecac , Herbaceous perennial, Rosaceae, Southeastern United States, 4 to 8, 2.50 to 3.00 feet, 1.50 to 2.00 feet, May to June, White or light pink, Part shade, Medium, Low, Naturalize, Showy,,, Good Fall,,,
Glandularia canadensis, rose verbena , Herbaceous perennial, Verbenaceae, United States, 5 to 9, 0.50 to 1.50 feet, 1.00 to 2.00 feet, May to August, Rose-pink to rose-purple, Full sun, Dry to medium, Low," Annual, Ground Cover, Naturalize", Showy," Drought, Dry Soil, Shallow-Rocky Soil",,, Butterflies,,
Gleditsia triacanthos, honey locust , Tree, Fabaceae, Central and eastern North America, 3 to 8, 60.00 to 80.00 feet, 60.00 to 80.00 feet, May to June, Greenish-yellow, Full sun, Medium, Medium, Street Tree, Showy," Deer, Drought, Clay Soil, Black Walnut, Air Pollution",,,, Showy, Thorns
Grindelia lanceolata, gum plant , Herbaceous perennial, Asteraceae, Southcentral United States, 4 to 8, 2.00 to 3.00 feet, 1.50 to 2.00 feet, June to September, Yellow, Full sun, Dry to medium, Low, Naturalize, Showy,,,,,,
Gymnocladus dioicus, Kentucky coffee tree , Tree, Fabaceae," Central and eastern United States to Ontario and Quebec, Canada", 3 to 8, 60.00 to 80.00 feet, 40.00 to 55.00 feet, May to June, Greenish-white, Full sun, Medium, Low," Shade Tree, Rain Garden"," Showy, Fragrant"," Drought, Air Pollution",,,, Showy, Winter Interest
Halesia carolina, Carolina silverbell , Tree, Styracaceae, Southeastern United States, 4 to 8, 30.00 to 40.00 feet, 20.00 to 35.00 feet, April, White, Full sun to part shade, Medium, Low, Flowering Tree, Showy, Black Walnut,, Good Fall,,,
Halesia diptera, silverbell tree , Tree, Styracaceae, Southeastern United States, 5 to 8, 20.00 to 30.00 feet, 20.00 to 30.00 feet, April to May, White, Full sun to part shade, Medium, Low, Flowering Tree, Showy,,,,, Showy,
Hamamelis virginiana, common witch hazel , Deciduous shrub, Hamamelidaceae, Eastern North America, 3 to 8, 15.00 to 20.00 feet, 15.00 to 20.00 feet, October to December, Yellow sometimes tinged with orange or red, Full sun to part shade, Medium, Low," Hedge, Naturalize, Rain Garden"," Showy, Fragrant"," Deer, Erosion, Clay Soil",, Good Fall, Birds,, Winter Interest
Helenium amarum, sneezeweed , Annual, Asteraceae, United States, 3 to 10, 1.00 to 2.00 feet, 0.75 to 1.25 feet, August to October, Yellow, Full sun to part shade, Dry to medium, Low," Annual, Naturalize", Showy," Drought, Dry Soil",,, Butterflies,,
Helenium autumnale, sneezeweed , Herbaceous perennial, Asteraceae, North America, 3 to 8, 3.00 to 5.00 feet, 2.00 to 3.00 feet, August to October, Yellow rays and dull yellow center disks, Full sun, Medium to wet, Medium, Rain Garden, Showy," Deer, Clay Soil, Wet Soil",,, Butterflies,,
Helenium flexuosum, purple-headed sneezeweed , Herbaceous perennial, Asteraceae, Eastern and central United States, 5 to 9, 1.00 to 3.00 feet, 1.00 to 2.00 feet, August to October, Yellow rays with brownish-purple center disk, Full sun, Medium to wet, Medium, Rain Garden, Showy," Deer, Wet Soil",,, Butterflies,,
Helianthus annuus, common sunflower , Annual, Asteraceae, United States and Central America, 2 to 11, 3.00 to 10.00 feet, 1.50 to 3.00 feet, July to August," Yellow, red, mahogany, bicolor rays with brown to purple center disk", Full sun, Dry to medium, Low," Annual, Naturalize", Showy," Deer, Drought, Dry Soil", Where is this species invasive in the US?,," Birds, Butterflies",,
Helianthus divaricatus, sunflower , Herbaceous perennial, Asteraceae," Eastern United States, Oklahoma, Canada", 3 to 8, 2.00 to 6.00 feet, 1.00 to 3.00 feet, July to September, Yellow rays with darker yellow center disk, Part shade, Dry to medium, Low, Naturalize," Showy, Good Cut"," Deer, Drought",,," Birds, Butterflies",,
Helianthus maximiliani, Maximilian sunflower , Herbaceous perennial, Asteraceae, Missouri and Texas to southern Canada, 4 to 9, 3.00 to 10.00 feet, 2.00 to 4.00 feet, August to September, Yellow rays with darker yellow center disk, Full sun, Dry to medium, Medium, Naturalize, Showy," Deer, Drought, Erosion, Clay Soil, Dry Soil, Shallow-Rocky Soil",,," Birds, Butterflies",,
Helianthus mollis, ashy sunflower , Herbaceous perennial, Asteraceae, Central and eastern North America, 4 to 9, 2.00 to 4.00 feet, 1.00 to 3.00 feet, July to September, Yellow, Full sun, Dry to medium, Low, Naturalize, Showy," Drought, Dry Soil, Shallow-Rocky Soil",,," Birds, Butterflies",,
Helianthus tuberosus, Jerusalem artichoke , Herbaceous perennial, Asteraceae, Eastern North America, 3 to 9, 6.00 to 10.00 feet, 3.00 to 5.00 feet, August to September, Yellow, Full sun to part shade, Dry to medium, Low," Vegetable, Naturalize"," Showy, Good Cut"," Drought, Dry Soil, Shallow-Rocky Soil",,," Birds, Butterflies",,
Heliopsis helianthoides, oxeye sunflower , Herbaceous perennial, Asteraceae, Central and eastern North America, 3 to 9, 3.00 to 6.00 feet, 2.00 to 4.00 feet, June to August, Orange-yellow rays with brown center disks, Full sun, Dry to medium, Low,," Showy, Good Cut"," Drought, Erosion, Clay Soil, Dry Soil, Shallow-Rocky Soil",,, Butterflies,,
Heuchera americana, coral bells , Herbaceous perennial, Saxifragaceae, North America, 4 to 9, 1.00 to 2.00 feet, 1.00 to 1.50 feet, June to August, Greenish white with red tinge, Full sun to part shade, Medium, Low,," Showy, Good Cut", Drought,, Colorful,,,
Heuchera villosa, hairy alum root , Herbaceous perennial, Saxifragaceae, Southeastern United States, 3 to 8, 1.50 to 2.50 feet, 1.00 to 2.00 feet, July to September, White to pink, Full sun to part shade, Medium, Low,, Showy,,,,,,
Hibiscus coccineus, scarlet rose mallow , Herbaceous perennial, Malvaceae, Southeastern United States, 6 to 9, 3.00 to 6.00 feet, 2.00 to 3.00 feet, June to September, Deep red, Full sun to part shade, Medium to wet, Medium," Water Plant, Rain Garden", Showy," Deer, Wet Soil",,," Hummingbirds, Butterflies",,
Hibiscus laevis, rose mallow , Herbaceous perennial, Malvaceae, Eastern and central United States, 4 to 9, 4.00 to 6.00 feet, 2.00 to 3.00 feet, August to September,, Full sun, Medium to wet, Low," Water Plant, Rain Garden", Showy," Deer, Wet Soil",,, Butterflies,,
Hibiscus lasiocarpos, rose mallow , Herbaceous perennial, Malvaceae, Southern United States, 5 to 9, 3.00 to 7.00 feet, 2.00 to 3.00 feet, July to October, White or rose with magenta-crimson eye, Full sun, Medium to wet, Medium," Water Plant, Rain Garden", Showy," Deer, Wet Soil",,, Butterflies,,
Hibiscus moscheutos, swamp mallow , Herbaceous perennial, Malvaceae, Southern and eastern North America, 5 to 9, 3.00 to 7.00 feet, 2.00 to 4.00 feet, July to September, White to pink, Full sun, Medium to wet, Low, Rain Garden, Showy, Wet Soil,,, Butterflies,,
Hydrangea arborescens, smooth hydrangea , Deciduous shrub, Hydrangeaceae, Eastern United States, 3 to 9, 3.00 to 5.00 feet, 3.00 to 5.00 feet, June to September, White, Part shade, Medium, Low," Naturalize, Rain Garden", Showy," Rabbit, Erosion, Clay Soil, Dry Soil, Wet Soil, Shallow-Rocky Soil, Black Walnut",,,,,
Hydrangea quercifolia, oakleaf hydrangea , Deciduous shrub, Hydrangeaceae, Southeastern United States, 5 to 9, 6.00 to 8.00 feet, 6.00 to 8.00 feet, May to July, White changing to purplish pink, Full sun to part shade, Medium, Low," Hedge, Naturalize"," Showy, Good Cut, Good Dried",,, Good Fall,,, Winter Interest
Hydrophyllum virginianum, Virginia waterleaf , Herbaceous perennial, Hydrophyllaceae, Eastern North America, 4 to 8, 1.00 to 2.00 feet, 1.00 to 2.00 feet, May to June, White to lilac, Part shade, Medium to wet, Low, Naturalize, Showy, Wet Soil,,,,,
Hymenocallis liriosme, spider lily , Bulb, Amaryllidaceae, Southeastern United States, 7 to 10, 1.50 to 2.00 feet, 1.00 to 1.50 feet, July to August, White with yellow-green eye, Full sun to part shade, Medium, Medium, Water Plant," Showy, Fragrant",,,,,,
Hypericum prolificum, shrubby St. John's wort , Deciduous shrub, Hypericaceae, Central and eastern North America, 3 to 8, 1.00 to 5.00 feet, 1.00 to 4.00 feet, June to August, Yellow, Full sun to part shade, Medium, Low, Hedge, Showy," Drought, Erosion, Clay Soil, Black Walnut",,, Birds,,
Hypericum sphaerocarpum, round fruited St. John's wort , Herbaceous perennial, Hypericaceae, Central North America, 5 to 8, 1.50 to 2.50 feet, 1.50 to 2.50 feet, June to July, Yellow, Full sun to part shade, Dry to medium, Low,," Showy, Fragrant"," Drought, Dry Soil",,,,,
Ilex decidua, possumhaw , Deciduous shrub, Aquifoliaceae, Southeastern and central United States, 5 to 9, 7.00 to 15.00 feet, 5.00 to 12.00 feet, May, Dull white, Full sun to part shade, Medium, Low, Rain Garden, Insignificant," Clay Soil, Air Pollution",,, Birds,, Winter Interest
Ilex glabra, inkberry , Broadleaf evergreen, Aquifoliaceae, Eastern North America, 4 to 9, 5.00 to 8.00 feet, 5.00 to 8.00 feet, May to June, Greenish-white, Full sun to part shade, Medium to wet, Low," Hedge, Naturalize, Rain Garden", Insignificant," Rabbit, Deer, Erosion, Wet Soil, Air Pollution",, Evergreen, Birds,, Winter Interest
Ilex opaca, American holly , Broadleaf evergreen, Aquifoliaceae, Eastern and central United States, 5 to 9, 15.00 to 30.00 feet, 10.00 to 20.00 feet, May, Creamy white, Full sun to part shade, Medium, Low,, Insignificant," Deer, Clay Soil, Air Pollution",, Evergreen, Birds, Showy," Winter Interest, Thorns"
Ilex verticillata, winterberry , Deciduous shrub, Aquifoliaceae, Central and eastern North America, 3 to 9, 6.00 to 12.00 feet, 6.00 to 12.00 feet, June to July, Greenish-white, Full sun to part shade, Medium to wet, Low," Hedge, Rain Garden", Insignificant," Erosion, Clay Soil, Wet Soil, Air Pollution",,, Birds, Showy,
Ilex vomitoria, yaupon , Broadleaf evergreen, Aquifoliaceae," Southeastern United States, Mexico", 7 to 9, 10.00 to 20.00 feet, 8.00 to 12.00 feet, April, White, Full sun to part shade, Medium to wet, Medium, Rain Garden," Showy, Fragrant", Air Pollution,, Evergreen, Birds, Showy, Winter Interest
Illicium floridanum, Florida anise tree , Broadleaf evergreen, Schisandraceae," Southeastern United States, northern Mexico", 7 to 10, 6.00 to 10.00 feet, 4.00 to 8.00 feet, April to May, Dark red, Part shade to full shade, Medium to wet, Medium," Naturalize, Rain Garden"," Showy, Fragrant"," Heavy Shade, Erosion, Wet Soil",," Fragrant, Evergreen",, Showy, Winter Interest
Impatiens capensis, jewelweed , Annual, Balsaminaceae, North America, 2 to 11, 2.00 to 5.00 feet, 1.50 to 2.50 feet, June to September, Orange to orange-yellow with red spotting, Part shade to full shade, Medium to wet, Medium," Annual, Rain Garden", Showy," Heavy Shade, Clay Soil, Wet Soil",,," Birds, Hummingbirds, Butterflies",,
Ipomoea pandurata, wild potato vine , Vine, Convolvulaceae, North America, 6 to 8, 15.00 to 30.00 feet, 3.00 to 6.00 feet, May to September, White flowers with reddish purple eyes, Full sun to part shade, Medium, Medium,, Showy, Drought,,, Hummingbirds,,
Ipomopsis rubra, standing cypress , Herbaceous perennial, Polemoniaceae, Southeastern United States, 6 to 9, 2.00 to 5.00 feet, 1.50 to 2.00 feet, June to August, Red w/ yellow inside, Full sun, Dry to medium, Low," Annual, Naturalize", Showy," Deer, Drought",,, Hummingbirds,,
Iris brevicaulis, zigzag iris , Herbaceous perennial, Iridaceae, Central North America, 4 to 8, 0.75 to 1.00 feet, 0.75 to 1.00 feet, June, Deep bluish purple with yellow-crested falls, Full sun to part shade, Medium to wet, Medium," Naturalize, Rain Garden", Showy," Deer, Wet Soil",,,,,
Iris cristata, dwarf crested iris , Herbaceous perennial, Iridaceae, Northeastern United States, 3 to 9, 0.50 to 0.75 feet, 0.50 to 1.00 feet, April, Pale blue with gold-crested falls, Full sun to part shade, Medium, Medium," Ground Cover, Naturalize", Showy," Deer, Drought",,,,,
Iris fulva, copper iris , Herbaceous perennial, Iridaceae, Central United States, 5 to 9, 2.00 to 3.00 feet, 1.00 to 2.00 feet, May to June, Copper, Full sun to part shade, Medium to wet, Low," Water Plant, Naturalize, Rain Garden", Showy," Deer, Clay Soil, Wet Soil",,, Hummingbirds,,
Iris hexagona, iris , Herbaceous perennial, Iridaceae, Southeastern United States, 7 to 9, 3.00 to 4.00 feet, 1.00 to 1.50 feet, April to May, Blue and white with yellow signals, Full sun to part shade, Medium to wet, Medium," Water Plant, Naturalize, Rain Garden"," Showy, Fragrant", Wet Soil,,,,,
Iris virginica, southern blue flag , Herbaceous perennial, Iridaceae, United States, 5 to 9, 1.00 to 3.00 feet, 1.00 to 3.00 feet, June, Violet blue with yellow and white crested falls, Full sun, Medium to wet, Low," Water Plant, Naturalize, Rain Garden", Showy," Deer, Wet Soil",,,,,
Itea virginica, Virginia sweetspire , Deciduous shrub, Iteaceae, Eastern North America, 5 to 9, 3.00 to 5.00 feet, 3.00 to 5.00 feet, June to July, White, Full sun to part shade, Medium to wet, Low, Rain Garden," Showy, Fragrant"," Heavy Shade, Erosion, Clay Soil, Wet Soil",, Good Fall,,,
Juglans cinerea, butter nut , Tree, Juglandaceae, Northeastern United States, 3 to 7, 40.00 to 60.00 feet, 40.00 to 60.00 feet, May to June, Yellowish-green, Full sun, Medium, Medium, Shade Tree, Insignificant," Rabbit, Drought",,,," Showy, Edible",
Juglans nigra, black walnut , Tree, Juglandaceae, Eastern United States, 4 to 9, 75.00 to 100.00 feet, 75.00 to 100.00 feet, May to June, Yellowish-green, Full sun, Medium, Medium, Shade Tree, Insignificant," Rabbit, Drought",, Fragrant,," Showy, Edible",
Juncus dudleyi, Dudley's rush , Rush or Sedge, Juncaceae, Northern and central North America, 3 to 9, 1.50 to 2.50 feet, 1.00 to 1.50 feet, May to July, Green, Full sun, Medium to wet, Low," Water Plant, Naturalize, Rain Garden", Insignificant," Erosion, Wet Soil",,,,,
Juncus effusus, common rush , Rush or Sedge, Juncaceae," Eurasia, North America, Australia, New Zealand", 4 to 9, 2.00 to 4.00 feet, 2.00 to 4.00 feet, June to August, Yellowish-green, Full sun, Wet, Low," Water Plant, Naturalize, Rain Garden", Showy," Erosion, Wet Soil",,,,,
Juncus tenuis, rush , Rush or Sedge, Juncaceae, Cosmopolitan, 2 to 9, 0.50 to 2.00 feet, 0.50 to 2.00 feet, May to September, Green, Full sun to part shade, Medium to wet, Low," Ground Cover, Water Plant, Naturalize, Rain Garden", Insignificant," Erosion, Wet Soil",,,,,
Juniperus communis, common juniper , Needled evergreen, Cupressaceae, Temperate northern Hemisphere, 2 to 7, 5.00 to 15.00 feet, 9.00 to 12.00 feet, Non-flowering, Non-flowering, Full sun, Medium, Low, Naturalize,," Deer, Drought, Erosion, Dry Soil, Shallow-Rocky Soil, Black Walnut, Air Pollution",, Evergreen,,, Winter Interest
Juniperus virginiana, red cedar , Needled evergreen, Cupressaceae, Eastern North America, 2 to 9, 30.00 to 65.00 feet, 8.00 to 25.00 feet, Non-flowering, Non-flowering, Full sun, Dry to medium, Low,,," Deer, Drought, Erosion, Dry Soil, Shallow-Rocky Soil, Black Walnut, Air Pollution", Where is this species invasive in the US?, Evergreen,,, Winter Interest
Kalmia latifolia, mountain laurel , Broadleaf evergreen, Ericaceae, Eastern United States, 4 to 9, 5.00 to 15.00 feet, 5.00 to 15.00 feet, May, Rose to white with purple markings, Part shade, Medium, Medium,, Showy," Rabbit, Deer",,,,,
Koeleria macrantha, Prairie junegrass , Ornamental grass, Poaceae," Europe, Asia, North America", 3 to 9, 1.00 to 2.00 feet, 0.75 to 1.50 feet, May to June, Light green, Full sun, Dry to medium, Low, Naturalize, Showy," Drought, Dry Soil, Black Walnut, Air Pollution",,,,,
Kosteletzkya virginica, seashore mallow , Herbaceous perennial, Malvaceae, Eastern United States, 6 to 9, 3.00 to 4.00 feet, 2.00 to 3.00 feet, June to September, Pink, Full sun, Medium to wet, Low, Water Plant, Showy,,,, Butterflies,,
Lactuca floridana, lettuce , Annual, Asteraceae, United States,, 2.00 to 7.00 feet, 1.00 to 2.00 feet, July to October, Pale blue, Part shade to full shade, Medium to wet, Medium," Annual, Vegetable", Showy, Wet Soil,,,,,
Lemna minor, common duckweed , Herbaceous perennial, Araceae, Cosmopolitan, 4 to 10, 0.25 to 0.25 feet, 1.00 to 3.00 feet, Rarely flowers, White (rarely flowers), Full sun to part shade, Wet, Medium," Annual, Water Plant, Naturalize, Rain Garden", Insignificant,, Where is this species invasive in the US?,, Birds,,
Lespedeza capitata, bush clover , Herbaceous perennial, Fabaceae, United States, 4 to 8, 2.00 to 4.00 feet, 1.00 to 2.00 feet, July to September, Creamy white with magenta spot, Full sun to part shade, Dry to medium, Low, Naturalize, Showy," Drought, Erosion, Dry Soil, Shallow-Rocky Soil",,,,,
Leucothoe axillaris, coastal doghobble , Broadleaf evergreen, Ericaceae, Southeastern United States, 6 to 9, 2.00 to 4.00 feet, 3.00 to 5.00 feet, May, White, Part shade, Medium, Medium, Hedge," Showy, Fragrant",,,,,,
Leucothoe fontanesiana, drooping laurel , Broadleaf evergreen, Ericaceae, Southeastern United States, 5 to 8, 2.00 to 3.00 feet, 2.00 to 3.00 feet, May, White, Part shade to full shade, Medium, Low," Hedge, Naturalize", Showy," Heavy Shade, Erosion",," Colorful, Good Fall, Evergreen",,, Winter Interest
Liatris aspera, blazing star , Herbaceous perennial, Asteraceae, Eastern North America, 3 to 8, 2.00 to 3.00 feet, 1.00 to 1.50 feet, August to October, Purple, Full sun, Dry to medium, Medium,," Showy, Good Cut"," Drought, Dry Soil, Shallow-Rocky Soil",,," Birds, Hummingbirds, Butterflies",,
Liatris cylindracea, slender blazing star , Herbaceous perennial, Asteraceae, Ontario to Missouri, 4 to 7, 1.50 to 2.00 feet, 0.50 to 1.00 feet, July to September, Rose purple, Full sun, Dry to medium, Low,, Showy, Drought,,," Birds, Hummingbirds, Butterflies",,
Liatris microcephala, smallhead blazing star , Herbaceous perennial, Asteraceae, Southeastern United States, 6 to 9, 1.50 to 2.00 feet, 0.75 to 1.00 feet, July, Purple, Full sun, Dry to medium, Low,," Showy, Good Cut", Drought,,," Birds, Hummingbirds, Butterflies",,
Liatris scariosa, blazing star , Herbaceous perennial, Asteraceae, Central and eastern United States, 3 to 8, 2.00 to 4.00 feet, 1.00 to 2.00 feet, August to October, Reddish purple, Full sun, Dry to medium, Low, Naturalize," Showy, Good Cut"," Drought, Erosion, Dry Soil, Shallow-Rocky Soil",,," Birds, Hummingbirds, Butterflies",,
Liatris spicata, blazing star , Herbaceous perennial, Asteraceae, Eastern United States, 3 to 8, 2.00 to 4.00 feet, 0.75 to 1.50 feet, July to August, Red-purple, Full sun, Medium, Low, Rain Garden," Showy, Good Cut, Good Dried"," Drought, Clay Soil",,," Birds, Butterflies",,
Lilium michiganense, Michigan lily , Bulb, Liliaceae, Northern and central North America, 4 to 8, 2.00 to 5.00 feet, 1.00 to 2.00 feet, June to July, Orange with dark spots, Full sun to part shade, Medium to wet, Low, Rain Garden, Showy, Wet Soil,,, Hummingbirds,,
Lilium superbum, Turkscap lily , Bulb, Liliaceae, Eastern United States, 5 to 8, 4.00 to 7.00 feet, 0.50 to 0.75 feet, July," Orange, spotted maroon", Full sun to part shade, Medium to wet, Medium," Naturalize, Rain Garden", Showy, Wet Soil,,, Hummingbirds,,
Lindera benzoin, spice bush , Deciduous shrub, Lauraceae, Central and eastern United States, 4 to 9, 6.00 to 12.00 feet, 6.00 to 12.00 feet, March, Greenish yellow, Part shade, Medium, Low," Hedge, Rain Garden"," Showy, Fragrant"," Deer, Drought, Heavy Shade, Clay Soil, Wet Soil, Black Walnut",," Fragrant, Good Fall"," Birds, Butterflies", Showy,
Liquidambar styraciflua, sweet gum , Tree, Altingiaceae," Eastern United States, Mexico", 5 to 9, 60.00 to 80.00 feet, 40.00 to 60.00 feet, April to May, Yellow-green, Full sun, Medium, Low, Shade Tree, Insignificant," Rabbit, Deer, Clay Soil, Black Walnut",," Fragrant, Good Fall",, Showy,
Liriodendron tulipifera, tulip tree , Tree, Magnoliaceae, Eastern North America, 4 to 9, 60.00 to 90.00 feet, 30.00 to 50.00 feet, May to June, Yellow with orange band at petal bases, Full sun, Medium, Low," Shade Tree, Street Tree, Flowering Tree", Showy," Rabbit, Deer, Clay Soil, Wet Soil, Black Walnut",, Good Fall," Birds, Hummingbirds",,
Lobelia cardinalis, cardinal flower , Herbaceous perennial, Campanulaceae, Americas, 3 to 9, 2.00 to 4.00 feet, 1.00 to 2.00 feet, July to September," Scarlet red, white or rose", Full sun to part shade, Medium to wet, Low," Naturalize, Rain Garden", Showy," Rabbit, Deer, Wet Soil",,," Hummingbirds, Butterflies",,
Lobelia siphilitica, blue cardinal flower , Herbaceous perennial, Campanulaceae, Eastern North America, 4 to 9, 2.00 to 3.00 feet, 1.00 to 1.50 feet, July to September, Blue, Full sun to part shade, Medium to wet, Low," Naturalize, Rain Garden", Showy," Deer, Heavy Shade, Wet Soil",,,,,
