,Hardiness,Climate Zones,Plant Type,Plant Family,Exposure,Season of Interest,Height,Spread,Water Needs,Maintenance,Soil Type,Soil pH,Soil Drainage,Characteristics,Native Plants,Tolerance,Garden Uses,Garden Styles,Depth,Attracts,Spacing,Heat Zones
"houstonia caerulea
",3 – 9 What's My Zone?,,Perennials,,"Full Sun, Partial Sun","Spring (Mid,Late)Summer (Early)","3"" – 6"" (7cm – 15cm)","3"" – 6"" (7cm – 15cm)","Low, Average",Low,"Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Michigan, Missouri, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia","Deer, Drought, Rabbit, Dry Soil, Salt",Ground Covers,"City and Courtyard, Coastal Garden, Gravel and Rock Garden, Informal and Cottage",,Butterflies,"3"" (7cm)",
"hydrangea arborescens
",3 – 8 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, A3",Shrubs,Hydrangea,"Full Sun, Partial Sun","Summer (Early,Mid,Late)Fall",3' – 5' (90cm – 150cm),3' – 5' (90cm – 150cm),Average,Low,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Dried Arrangements, Cut Flowers, Showy","United States, Midwest, Illinois, Indiana, Kansas, Missouri, Ohio, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma","Clay Soil, Rabbit, Dry Soil, Rocky Soil, Wet Soil","Beds and Borders, Hedges and Screens, Patio and Containers","City and Courtyard, Informal and Cottage, Traditional Garden",,Butterflies,"60"" (150cm)",1 – 9 What's My Zone?
"hydrangea quercifolia
",5 – 9 What's My Zone?,"2, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23",Shrubs,Hydrangea,"Full Sun, Partial Sun","Spring (Late)Summer (Early,Mid,Late)FallWinter",6' – 8' (180cm – 240cm),6' – 8' (180cm – 240cm),Average,Low,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Dried Arrangements, Cut Flowers, Showy","United States, Southeast, Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee",Dry Soil,"Beds and Borders, Hedges and Screens","Informal and Cottage, Traditional Garden",,Birds,"96"" (240cm)",5 – 9 What's My Zone?
"hydrocotyle umbellata
",4 – 10 What's My Zone?,,"Aquatic Plants, Perennials",,"Full Sun, Partial Sun","Spring (Mid,Late)Summer (Early,Mid,Late)Fall","4"" – 8"" (10cm – 20cm)",3' – 20' (90cm – 6m),High,Low,"Clay, Loam, Sand","Acid, Neutral","Moisture Retentive, Poorly Drained",Showy,"United States, California, Midwest, Indiana, Michigan, Minnesota, Ohio, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Rhode Island, Pacific Northwest, Oregon, Southeast, Alabama, Arkansas, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Southwest, Oklahoma, Texas",Wet Soil,"Bog Gardens, Ground Covers, Ponds and Streams, Water Gardens",,,Butterflies,,
"hymenocallis liriosme
",7 – 10 What's My Zone?,,"Bulbs, Perennials",Hymenocallis,"Full Sun, Partial Sun","Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter",1' – 2' (30cm – 60cm),1' – 2' (30cm – 60cm),"Average, High",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Moisture Retentive, Poorly Drained","Fragrant, Showy","United States, Southeast, Arkansas, Louisiana, Mississippi, Southwest, Oklahoma, Texas",Wet Soil,"Beds and Borders, Bog Gardens, Patio and Containers, Ponds and Streams, Water Gardens",,,Birds,"6"" – 10"" (15cm – 25cm)",
"hymenocallis occidentalis
",5 – 8 What's My Zone?,,"Bulbs, Perennials",Hymenocallis,"Full Sun, Partial Sun","Summer (Early,Mid,Late)Fall",1' – 2' (30cm – 60cm),1' – 2' (30cm – 60cm),"Average, High",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Moisture Retentive, Poorly Drained","Fragrant, Showy","United States, Midwest, Illinois, Indiana, Missouri, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, Tennessee, Southwest, Texas",Wet Soil,"Beds and Borders, Bog Gardens, Ponds and Streams, Rain Gardens, Water Gardens",,,Birds,"18"" (45cm)",
"hypericum densiflorum
",3 – 8 What's My Zone?,,Shrubs,Hypericum - St John's Wort,"Full Sun, Partial Sun","Summer (Early,Mid,Late)Fall",2' – 7' (60cm – 210cm),3' – 6' (90cm – 180cm),Average,Low,"Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,Showy,"United States, Northeast, Delaware, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Southeast, Alabama, Florida, Georgia, Louisiana, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Texas",Drought,"Banks and Slopes, Beds and Borders, Ponds and Streams","Gravel and Rock Garden, Informal and Cottage",,Birds,"36"" – 72"" (90cm – 180cm)",
"hypericum prolificum
",3 – 8 What's My Zone?,,"Perennials, Shrubs",Hypericum - St John's Wort,"Full Sun, Partial Sun","Summer (Early,Mid,Late)",1' – 4' (30cm – 120cm),1' – 4' (30cm – 120cm),"Low, Average",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Clay Soil, Deer, Drought, Dry Soil, Rocky Soil","Banks and Slopes, Beds and Borders, Hedges and Screens",,,Birds,"36"" – 48"" (90cm – 120cm)",
"ilex cassine
",7 – 11 What's My Zone?,,Trees,Ilex - Hollies,"Full Sun, Partial Sun","Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter",20' – 30' (6m – 9m),8' – 12' (240cm – 3.6m),"Average, High",Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Moisture Retentive","Cut Flowers, Showy, Evergreen, Fruit & Berries","United States, Southeast, Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Southwest, Texas","Drought, Salt, Wet Soil","Bog Gardens, Hedges and Screens, Patio and Containers, Ponds and Streams, Rain Gardens","City and Courtyard, Coastal Garden",,"Birds, Butterflies",,
"ilex decidua
",5 – 9 What's My Zone?,,Shrubs,Ilex - Hollies,"Full Sun, Partial Sun","Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter",7' – 15' (210cm – 4.5m),5' – 12' (150cm – 3.6m),"Average, High",Low,"Chalk, Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Cut Flowers, Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Kansas, Missouri, Northeast, Maryland, Southeast, Alabama, Arkansas, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Southwest, Oklahoma, Texas",Clay Soil,"Beds and Borders, Hedges and Screens, Ponds and Streams, Rain Gardens",Informal and Cottage,,Birds,,
"ilex opaca
",5 – 10 What's My Zone?,,Trees,Ilex - Hollies,"Full Sun, Partial Sun","Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter",15' – 30' (4.5m – 9m),10' – 20' (3m – 6m),Average,Low,"Chalk, Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Cut Flowers, Showy, Evergreen, Fruit & Berries","United States, Midwest, Illinois, Indiana, Missouri, Ohio, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Rhode Island, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Clay Soil, Deer","Beds and Borders, Hedges and Screens",Informal and Cottage,,"Birds, Butterflies",,5 – 9 What's My Zone?
"ilex verticillata
",3 – 9 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, A2, A3",Shrubs,Ilex - Hollies,"Full Sun, Partial Sun","Spring (Early,Late)Summer (Early,Mid,Late)FallWinter",6' – 10' (180cm – 3m),6' – 10' (180cm – 3m),"Average, High",Low,"Clay, Loam","Acid, Neutral","Moist but Well-Drained, Poorly Drained","Cut Flowers, Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Texas","Clay Soil, Dry Soil, Wet Soil","Banks and Slopes, Beds and Borders, Bog Gardens, Hedges and Screens, Ponds and Streams, Rain Gardens",Informal and Cottage,,"Birds, Butterflies","96"" – 120"" (240cm – 300cm)",5 – 8 What's My Zone?
"ilex vomitoria
",7 – 9 What's My Zone?,"3, 3A, 3B, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, H1, H2","Shrubs, Trees",Ilex - Hollies,"Full Sun, Partial Sun","Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter",10' – 20' (3m – 6m),8' – 12' (240cm – 3.6m),"Low, Average, High",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Cut Flowers, Showy, Evergreen, Fruit & Berries","United States, Southeast, Alabama, Arkansas, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Virginia, Southwest, Oklahoma, Texas","Drought, Dry Soil, Salt","Hedges and Screens, Ponds and Streams, Rain Gardens",Coastal Garden,,"Birds, Butterflies",,
"illicium floridanum
",7 – 10 What's My Zone?,,Shrubs,Illicium - Anise Trees,"Partial Sun, Shade","Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter",6' – 10' (180cm – 3m),4' – 8' (120cm – 240cm),Average,Low,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Moisture Retentive","Fragrant, Showy, Evergreen","United States, Southeast, Alabama, Florida, Georgia, Louisiana, Mississippi","Deer, Wet Soil",,"City and Courtyard, Informal and Cottage, Mediterranean Garden",,,"72"" – 96"" (180cm – 240cm)",4 – 9 What's My Zone?
"impatiens capensis
",2 – 11 What's My Zone?,,Annuals,Impatiens,"Partial Sun, Shade","Summer (Early,Mid,Late)Fall",2' – 5' (60cm – 150cm),1' – 3' (30cm – 90cm),"Average, High",Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moisture Retentive, Poorly Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Colorado, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Clay Soil, Wet Soil","Bog Gardens, Ponds and Streams, Rain Gardens","Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies, Hummingbirds","18"" – 30"" (45cm – 75cm)",
"impatiens pallida
",3 – 8 What's My Zone?,,Annuals,Impatiens,"Partial Sun, Shade","Summer (Early,Mid,Late)Fall",2' – 5' (60cm – 150cm),2' – 3' (60cm – 90cm),Average,Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Georgia, Kentucky, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma",,,"Informal and Cottage, Prairie and Meadow",,"Butterflies, Hummingbirds","24"" (60cm)",
"ipomoea cordatotriloba
",8 – 10 What's My Zone?,,"Climbers, Perennials",Ipomoea - Morning Glories,Full Sun,"Summer (Mid,Late)Fall",3' – 15' (90cm – 4.5m),,"Low, Average","Low, Average","Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Southeast, Alabama, Arkansas, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee",,"Arbors, Pergolas, Trellises",,,Birds,,
"ipomoea hederifolia
",8 – 11 What's My Zone?,,"Annuals, Climbers",Ipomoea - Morning Glories,"Full Sun, Partial Sun","Summer (Mid,Late)FallWinter",3' – 10' (90cm – 3m),,"Low, Average","Low, Average","Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Northeast, Massachusetts, Vermont, Southeast, Alabama, Florida, Georgia, Mississippi, Virginia, Southwest, New Mexico, Texas",,"Arbors, Pergolas, Trellises",,,"Butterflies, Hummingbirds",,
"ipomoea pandurata
",6 – 8 What's My Zone?,,"Climbers, Perennials",Ipomoea - Morning Glories,"Full Sun, Partial Sun","Spring (Late)Summer (Early,Mid,Late)Fall",15' – 30' (4.5m – 9m),3' – 6' (90cm – 180cm),"Low, Average",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Missouri, Nebraska, Ohio, Northeast, Connecticut, Delaware, Maryland, New Jersey, New York, Pennsylvania, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",Dry Soil,"Arbors, Pergolas, Trellises, Ground Covers, Walls and Fences","Informal and Cottage, Prairie and Meadow",,Hummingbirds,,
"ipomoea pes caprae
",8 – 11 What's My Zone?,,"Climbers, Perennials",Ipomoea - Morning Glories,Full Sun,"Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter","4"" – 6"" (10cm – 15cm)",10' – 60' (3m – 18m),Low,Low,Sand,"Acid, Alkaline, Neutral",Well-Drained,"Showy, Evergreen","Australia, United States, Northeast, Pennsylvania, Southeast, Alabama, Florida, Georgia, Louisiana, Mississippi, South Carolina, Southwest, Texas","Drought, Salt",Ground Covers,Coastal Garden,,Butterflies,,
"ipomopsis rubra
",6 – 9 What's My Zone?,"2, 2A, 2B, 3, 3A, 3B, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Perennials,,Full Sun,"Summer (Early,Mid,Late)",2' – 5' (60cm – 150cm),1' – 2' (30cm – 60cm),Low,Low,"Chalk, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Missouri, Ohio, Wisconsin, Northeast, Massachusetts, Maryland, New Jersey, New York, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Southwest, Oklahoma, Texas","Deer, Drought, Dry Soil, Rocky Soil",Beds and Borders,"Informal and Cottage, Prairie and Meadow",,Hummingbirds,"18"" – 24"" (45cm – 60cm)",
"iris brevicaulis
",4 – 8 What's My Zone?,,Perennials,Iris - Other,"Full Sun, Partial Sun","Spring (Early,Mid)","10"" – 1' (25cm – 30cm)","10"" – 1' (25cm – 30cm)","Average, High",Average,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Moisture Retentive, Poorly Drained","Cut Flowers, Showy","United States, Midwest, Illinois, Indiana, Kansas, Missouri, Ohio, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, Tennessee, Southwest, Oklahoma, Texas","Deer, Wet Soil","Beds and Borders, Bog Gardens, Ponds and Streams, Rain Gardens","Gravel and Rock Garden, Informal and Cottage, Prairie and Meadow",,Birds,"10"" – 12"" (25cm – 30cm)",
"iris cristata
",4 – 10 What's My Zone?,"2, 2B, 3, 4, 5, 6",Perennials,Iris - Other,Partial Sun,Spring (Mid),"6"" – 9"" (15cm – 22cm)","6"" – 1' (15cm – 30cm)","Low, Average",Low,"Clay, Loam","Acid, Alkaline, Neutral","Moist but Well-Drained, Moisture Retentive, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Missouri, Ohio, Northeast, Massachusetts, Maryland, Pennsylvania, Southeast, Alabama, Arkansas, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma","Deer, Drought, Dry Soil","Beds and Borders, Ground Covers, Patio and Containers, Wall-Side Borders","City and Courtyard, Coastal Garden, Gravel and Rock Garden, Informal and Cottage",,,"6""  – 12"" (15cm – 30cm)",1 – 10 What's My Zone?
"iris fulva
",6 – 9 What's My Zone?,"3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, H1, H2","Aquatic Plants, Perennials",Iris - Other,"Full Sun, Partial Sun",Spring (Late)Summer (Early),2' – 3' (60cm – 90cm),1' – 2' (30cm – 60cm),"Average, High",Low,"Clay, Loam","Acid, Neutral","Moist but Well-Drained, Moisture Retentive, Poorly Drained","Plant of Merit, Showy","United States, Midwest, Illinois, Missouri, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, Tennessee, Southwest, Texas","Clay Soil, Deer, Wet Soil","Beds and Borders, Bog Gardens, Ponds and Streams, Rain Gardens, Water Gardens",Informal and Cottage,,Hummingbirds,"18"" – 24"" (45cm – 60cm)",6 – 9 What's My Zone?
"iris hexagona
",7 – 9 What's My Zone?,,"Aquatic Plants, Perennials",Iris - Other,"Full Sun, Partial Sun","Spring (Mid,Late)",3' – 4' (90cm – 120cm),1' – 2' (30cm – 60cm),"Average, High",Average,"Clay, Loam","Acid, Neutral","Moist but Well-Drained, Moisture Retentive, Poorly Drained","Fragrant, Showy","United States, Midwest, Missouri, Southeast, Alabama, Arkansas, Florida, Georgia, Louisiana, Mississippi, South Carolina, Southwest, Texas",Wet Soil,"Beds and Borders, Bog Gardens, Ponds and Streams, Rain Gardens, Water Gardens",Informal and Cottage,,,"18"" – 24"" (45cm – 60cm)",
"iris verna
",5 – 9 What's My Zone?,,"Bulbs, Perennials",Iris - Other,"Full Sun, Partial Sun","Spring (Early,Mid)","2"" – 3"" (5cm – 7cm)",,"Low, Average",Low,"Chalk, Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Fragrant, Showy","United States, Midwest, Ohio, Northeast, Maryland, New York, Pennsylvania, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia",Dry Soil,,"Gravel and Rock Garden, Informal and Cottage, Prairie and Meadow",,,,5 – 9 What's My Zone?
"iris virginica
",5 – 9 What's My Zone?,,"Aquatic Plants, Perennials",Iris - Other,"Full Sun, Partial Sun",Spring (Late)Summer (Early),2' – 3' (60cm – 90cm),2' – 3' (60cm – 90cm),High,Low,"Clay, Loam","Acid, Neutral","Moisture Retentive, Poorly Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, Wisconsin, Northeast, Maryland, New Jersey, New York, Pennsylvania, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Deer, Wet Soil","Beds and Borders, Bog Gardens, Ponds and Streams, Rain Gardens, Water Gardens","Informal and Cottage, Prairie and Meadow",,,"30"" – 36"" (75cm – 90cm)",
"itea virginica
",5 – 10 What's My Zone?,"2, 2B, 3, 4, 5, 6, 15, 16, 17",Shrubs,,"Full Sun, Partial Sun, Shade","Spring (Mid,Late)Summer (Early)Fall",3' – 10' (90cm – 3m),3' – 10' (90cm – 3m),Average,Low,"Clay, Loam",Acid,Moist but Well-Drained,"Fragrant, Showy, Semi-Evergreen","United States, Midwest, Illinois, Indiana, Missouri, Northeast, Delaware, Maryland, New Jersey, Pennsylvania, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Southwest, Oklahoma, Texas","Clay Soil, Wet Soil","Beds and Borders, Ground Covers, Hedges and Screens, Ponds and Streams, Rain Gardens, Wall-Side Borders",,,"Birds, Butterflies, Hummingbirds",,
"juglans nigra
",4 – 9 What's My Zone?,,Trees,Carya - Hickories,Full Sun,"Spring (Mid,Late)Summer (Early,Mid,Late)Fall",70' – 100' (21m – 30m),70' – 100' (21m – 30m),Average,Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Plant of Merit, Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Rocky Mountains, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Drought, Rabbit",,Prairie and Meadow,,"Birds, Butterflies",,5 – 9 What's My Zone?
"juncus effusus
",4 – 10 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","Aquatic Plants, Ornamental Grasses, Perennials",Juncus - Rushes,Full Sun,"Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter",2' – 4' (60cm – 120cm),2' – 4' (60cm – 120cm),High,Low,"Clay, Loam","Acid, Neutral",Poorly Drained,"Showy, Evergreen","Australia, United States, Alaska, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Colorado, Montana, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Nevada, Arizona, New Mexico, Oklahoma, Texas",Wet Soil,"Bog Gardens, Patio and Containers, Ponds and Streams, Rain Gardens, Water Gardens","Informal and Cottage, Prairie and Meadow",,,"24"" – 48"" (60cm – 120cm)",6 – 9 What's My Zone?
"juniperus communis
",2 – 6 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, A1, A2, A3","Conifers, Shrubs, Trees",Juniperus - Junipers,Full Sun,"Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter",5' – 25' (150cm – 7.5m),3' – 12' (90cm – 3.6m),"Low, Average",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Showy, Evergreen, Fruit & Berries","United Kingdom, United States, Alaska, California, Midwest, Illinois, Indiana, Iowa, Michigan, Minnesota, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Colorado, Montana, Utah, Wyoming, Southeast, Alabama, Georgia, Kentucky, North Carolina, South Carolina, Virginia, West Virginia, Southwest, Nevada, Arizona, New Mexico","Deer, Drought, Dry Soil, Rocky Soil",,"Informal and Cottage, Prairie and Meadow",,Birds,,1 – 6 What's My Zone?
"juniperus virginiana
",2 – 10 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, A3","Conifers, Trees",Juniperus - Junipers,Full Sun,"Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter",40' – 50' (12m – 15m),8' – 20' (240cm – 6m),"Low, Average",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Fragrant, Showy, Evergreen","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Oregon, Rocky Mountains, Colorado, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Deer, Drought, Dry Soil, Rocky Soil, Salt",,"City and Courtyard, Informal and Cottage, Traditional Garden",,,,1 – 9 What's My Zone?
"justicia americana
",4 – 10 What's My Zone?,,Perennials,,"Full Sun, Partial Sun","Spring (Late)Summer (Early,Mid,Late)Fall",1' – 3' (30cm – 90cm),,High,Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moisture Retentive, Poorly Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Missouri, Ohio, Northeast, Delaware, Maryland, New Jersey, New York, Pennsylvania, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",Wet Soil,"Bog Gardens, Ponds and Streams, Water Gardens",,,"Butterflies, Hummingbirds",,
