,Hardiness,Climate Zones,Plant Type,Plant Family,Exposure,Season of Interest,Height,Spread,Water Needs,Maintenance,Soil Type,Soil pH,Soil Drainage,Characteristics,Native Plants,Tolerance,Garden Uses,Garden Styles,Depth,Attracts,Spacing,Heat Zones
Kosteletzkya virginica,6 to 10,,"Perennials, Shrubs",,Full Sun,"Summer (Early,Mid,Late)-Fall",3' to 5' (90cm to 150cm),2' to 3' (60cm to 90cm),"Average, High",Low,"Clay, Loam","Acid, Alkaline, Neutral","Moist but Well-Drained, Moisture Retentive",Showy,"United States, Northeast, Delaware, Maryland, New Jersey, New York, Pennsylvania, Southeast, Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Virginia, Southwest, Texas",Wet Soil,"Ponds and Streams, Water Gardens",Coastal Garden,,"Butterflies, Hummingbirds","36"" (90cm)",
Lachnanthes caroliana,6 to 10,,Perennials,,"Full Sun, Partial Sun","Summer (Early,Mid,Late)-Fall",1' to 3' (30cm to 90cm),"10"" to 1' (25cm to 30cm)",High,Low,Sand,"Acid, Neutral","Moisture Retentive, Poorly Drained",Showy,"United States, Northeast, Connecticut, Delaware, Maryland, New Jersey, New York, Rhode Island, Southeast, Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia",Wet Soil,"Bog Gardens, Ground Covers, Ponds and Streams","Coastal Garden, Informal and Cottage",,"Birds, Butterflies","12"" (30cm)",
Lantana urticoides,8 to 11,,Shrubs,Lantana,Full Sun,"Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall",2' to 3' (60cm to 90cm),4' to 6' (120cm to 180cm),"Low, Average",Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Southwest, Arizona, New Mexico, Texas","Deer, Drought, Salt",Ground Covers,"Coastal Garden, Informal and Cottage, Mediterranean Garden, Prairie and Meadow",,"Birds, Butterflies","48"" to 72"" (120cm to 180cm)",
Lemna minor,4 to 10,,"Aquatic Plants, Perennials",,"Full Sun, Partial Sun","Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall","2"" to 3"" (5cm to 7cm)",1' to 3' (30cm to 90cm),High,Average,,,,Showy,"United States, Alaska, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Colorado, Montana, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, Tennessee, Virginia, West Virginia, Southwest, Nevada, Arizona, New Mexico, Oklahoma, Texas",Wet Soil,"Ponds and Streams, Water Gardens",,,Birds,,
Lespedeza virginica,3 to 9,,Perennials,,"Full Sun, Partial Sun","Summer (Mid,Late)-Fall",2' to 3' (60cm to 90cm),1' to 2' (30cm to 60cm),"Low, Average",Low,"Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Missouri, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",Drought,Beds and Borders,Informal and Cottage,,"Birds, Butterflies","24"" (60cm)",
Leucothoe fontanesiana,5 to 8,"4, 5, 6, 7, 15, 16, 17",Shrubs,,"Partial Sun, Shade","Spring (Early,Mid,Late)-Summer (Early,Mid,Late)-FallWinter",3' to 6' (90cm to 180cm),3' to 6' (90cm to 180cm),Average,Low,"Clay, Loam, Sand",Acid,"Moist but Well-Drained, Poorly Drained","Showy, Evergreen","United States, Northeast, Massachusetts, New York, Southeast, Alabama, Georgia, Kentucky, North Carolina, South Carolina, Tennessee, Virginia",Deer,"Banks and Slopes, Beds and Borders, Ground Covers","Informal and Cottage, Prairie and Meadow",,Butterflies,"36"" to 72"" (90cm to 180cm)",5 to 8
Liatris aspera,3 to 8,,Perennials,Liatris,Full Sun,Summer (Late)-Fall,2' to 5' (60cm to 150cm),1' to 2' (30cm to 60cm),Low,Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Dried Arrangements, Cut Flowers, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, New York, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Drought, Dry Soil, Rocky Soil",Beds and Borders,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies, Hummingbirds","12"" to 15"" (30cm to 37cm)",
Liatris cylindracea,4 to 7,,Perennials,Liatris,Full Sun,"Summer (Mid,Late)-Fall",1' to 2' (30cm to 60cm),"6"" to 1' (15cm to 30cm)",Low,Low,"Loam, Sand","Alkaline, Neutral",Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Ohio, Wisconsin, Northeast, Delaware, New York, Southeast, Alabama, Arkansas, Kentucky, Tennessee","Drought, Dry Soil, Rocky Soil",Beds and Borders,"Gravel and Rock Garden, Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies, Hummingbirds","10"" to 12"" (25cm to 30cm)",
Lilium canadense,3 to 8,,"Bulbs, Perennials",Lilium - Lilies,"Full Sun, Partial Sun","Summer (Early,Mid)-",3' to 5' (90cm to 150cm),1' to 2' (30cm to 60cm),Average,Low,"Loam, Sand","Acid, Neutral",Moist but Well-Drained,Showy,"United States, Midwest, Indiana, Kansas, Nebraska, Ohio, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Georgia, Kentucky, North Carolina, South Carolina, Tennessee, Virginia, West Virginia",,Beds and Borders,"Informal and Cottage, Prairie and Meadow",,,,1 to 8
Lilium michiganense,4 to 8,,"Bulbs, Perennials",Lilium - Lilies,"Full Sun, Partial Sun","Summer (Early,Mid)-",2' to 5' (60cm to 150cm),1' to 2' (30cm to 60cm),Average,Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, South Dakota, Wisconsin, Northeast, New York, Pennsylvania, Southeast, Alabama, Arkansas, Kentucky, Mississippi, Tennessee, Southwest, Oklahoma",Wet Soil,"Beds and Borders, Rain Gardens","Informal and Cottage, Prairie and Meadow","5"" to 6"" (12cm to 15cm)","Butterflies, Hummingbirds","15"" to 18"" (37cm to 45cm)",
Lilium philadelphicum,4 to 7,,"Bulbs, Perennials",Lilium - Lilies,"Full Sun, Partial Sun","Summer (Mid,Late)-",1' to 3' (30cm to 90cm),"9"" to 1' (22cm to 30cm)",Average,Low,"Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Cut Flowers, Showy","United States, Midwest, Illinois, Indiana, Iowa, Michigan, Minnesota, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Rocky Mountains, Colorado, Montana, Wyoming, Southeast, Alabama, Arkansas, Georgia, Kentucky, North Carolina, Tennessee, Virginia, West Virginia, Southwest, New Mexico, Texas",,Beds and Borders,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies, Hummingbirds",,
Lilium superbum,4 to 7,"3, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","Bulbs, Perennials",Lilium - Lilies,"Full Sun, Partial Sun","Summer (Early,Mid)-",6' to 9' (180cm to 270cm),"6"" to 9"" (15cm to 22cm)","Average, High",Low,"Loam, Sand","Acid, Neutral",Moist but Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Minnesota, Ohio, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Mississippi, North Carolina, Tennessee, Virginia, West Virginia",Wet Soil,"Beds and Borders, Ponds and Streams, Rain Gardens","Informal and Cottage, Prairie and Meadow, Traditional Garden","5"" to 6"" (12cm to 15cm)","Butterflies, Hummingbirds","7"" (17cm)",1 to 8
Limnobium spongia,6 to 10,,"Aquatic Plants, Perennials",,"Full Sun, Partial Sun","Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall","1"" to 2"" (2cm to 5cm)",,High,Average,,,,Showy,"United States, Midwest, Illinois, Indiana, Missouri, Northeast, Connecticut, Delaware, Maryland, New Jersey, New York, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Southwest, Oklahoma, Texas",Wet Soil,"Ponds and Streams, Water Gardens",,,Birds,,
Limonium carolinianum,5 to 11,,Perennials,Limonium - Sea Lavender,Full Sun,"Summer (Early,Mid,Late)-",1' to 2' (30cm to 60cm),1' to 2' (30cm to 60cm),Average,Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Dried Arrangements, Cut Flowers, Showy","United States, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Rhode Island, Southeast, Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Virginia, Southwest, Texas","Salt, Wet Soil",Beds and Borders,"Coastal Garden, Informal and Cottage",,Butterflies,"18"" (45cm)",
Lindera benzoin,4 to 9,"2, 2A, 2B, 3, 3A, 3B, 4, 5, 6",Shrubs,,"Full Sun, Partial Sun, Shade","Spring (Early,Mid)-Fall",6' to 12' (180cm to 3.6m),6' to 12'  (180cm to 3.6m),"Average, High",Low,"Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Fragrant, Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Missouri, Ohio, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Clay Soil, Deer, Drought, Wet Soil","Beds and Borders, Ponds and Streams, Rain Gardens","Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","72"" to 144"" (180cm to 360cm)",
Liquidambar styraciflua,5 to 10,"3, 3A, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Trees,Liquidambar - Sweet Gums,Full Sun,"Spring (Early,Mid,Late)-Summer (Early,Mid,Late)-FallWinter",60' to 80' (18m to 24m),40' to 60' (12m to 18m),Average,Low,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Fragrant, Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Missouri, Ohio, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Rhode Island, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Clay Soil, Deer, Rabbit, Wet Soil","Beds and Borders, Rain Gardens",Prairie and Meadow,,,,7 to 9
Liriodendron tulipifera,4 to 9,"2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Trees,Liriodendron - Tulip Trees,Full Sun,"Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall",60' to 80' (18m to 24m),30' to 40' (9m to 12m),Average,Low,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Plant of Merit, Showy","United States, Midwest, Illinois, Indiana, Iowa, Michigan, Missouri, Ohio, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Texas","Clay Soil, Deer, Rabbit, Wet Soil",,Prairie and Meadow,,"Birds, Butterflies, Hummingbirds",,2 to 9
Lonicera sempervirens,4 to 9,"2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Climbers,Lonicera - Honeysuckles,"Full Sun, Partial Sun","Spring (Early,Mid,Late)-Summer (Early)-Fall",8' to 15' (240cm to 4.5m),3' to 6' (90cm to 180cm),"Low, Average",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Showy, Semi-Evergreen, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Missouri, Ohio, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Clay Soil, Deer, Dry Soil","Arbors, Pergolas, Trellises, Wall-Side Borders, Walls and Fences","City and Courtyard, Coastal Garden, Informal and Cottage",,"Birds, Butterflies, Hummingbirds","72"" (180cm)",1 to 9
Ludwigia palustris,3 to 7,,"Aquatic Plants, Perennials",,Full Sun,"Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall","3"" to 1' (7cm to 30cm)",,High,Low,"Loam, Sand","Acid, Alkaline, Neutral",Poorly Drained,Showy,"United States, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Arizona, New Mexico, Oklahoma, Texas",Wet Soil,"Bog Gardens, Ponds and Streams, Rain Gardens, Water Gardens",,,,,
Lupinus perennis,3 to 8,,Perennials,Lupinus - Lupines,"Full Sun, Partial Sun","Spring (Mid,Late)-Summer (Early,Mid)-",1' to 2' (30cm to 60cm),"10"" to 2' (25cm to 60cm)",Low,Low,"Loam, Sand","Acid, Neutral",Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Michigan, Minnesota, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Virginia, West Virginia, Southwest, Texas",Dry Soil,Beds and Borders,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies, Hummingbirds","10"" to 18"" (25cm to 45cm)",
Lycium carolinianum,8 to 11,,Shrubs,,"Full Sun, Partial Sun","Spring (Mid,Late)-Summer (Early,Mid,Late)-FallWinter",3' to 9' (90cm to 270cm),3' to 5' (90cm to 150cm),"Average, High",Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Showy, Evergreen, Fruit & Berries","United States, Southeast, Alabama, Florida, Georgia, Louisiana, Mississippi, South Carolina, Southwest, Texas","Drought, Salt","Beds and Borders, Hedges and Screens","Coastal Garden, Informal and Cottage",,"Birds, Butterflies, Hummingbirds","36"" to 60"" (90cm to 150cm)",
Lyonia lucida,7 to 10,,Shrubs,,"Full Sun, Partial Sun","Spring (Early,Mid,Late)-Summer (Early,Mid,Late)-FallWinter",3' to 6' (90cm to 180cm),3' to 6' (90cm to 180cm),"Average, High",Average,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Poorly Drained","Fragrant, Showy, Evergreen","United States, Southeast, Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Virginia",Wet Soil,"Beds and Borders, Hedges and Screens, Ponds and Streams, Rain Gardens","Informal and Cottage, Prairie and Meadow",,,"36"" to 72"" (90cm to 180cm)",
Lysimachia ciliata,3 to 8,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21",Perennials,Lysimachia - Loosestrife,"Full Sun, Partial Sun","Summer (Early,Mid,Late)-Fall",1' to 3' (30cm to 90cm),2' to 3' (60cm to 90cm),"Average, High","Low, Average",Loam,"Acid, Neutral","Moist but Well-Drained, Moisture Retentive, Poorly Drained","Cut Flowers, Showy","United States, Alaska, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Colorado, Montana, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, New Mexico, Oklahoma",Wet Soil,"Beds and Borders, Bog Gardens, Ponds and Streams, Rain Gardens","Informal and Cottage, Prairie and Meadow",,,"36"" (90cm)",
Maclura pomifera,5 to 9,,Trees,,"Full Sun, Partial Sun","Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall",30' to 60' (9m to 18m),30' to 60' (9m to 18m),"Low, Average",Low,"Clay, Loam","Acid, Alkaline, Neutral",Well-Drained,"Showy, Fruit & Berries","United States, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Missouri, Nebraska, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Rhode Island, Pacific Northwest, Oregon, Washington, Rocky Mountains, Colorado, Utah, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, New Mexico, Oklahoma, Texas","Clay Soil, Drought, Dry Soil, Wet Soil",Hedges and Screens,Prairie and Meadow,,Birds,,5 to 9
Magnolia acuminata,4 to 8,"2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21",Trees,Magnolia,"Full Sun, Partial Sun","Spring (Late)-Summer (Early,Mid,Late)-Fall",40' to 70' (12m to 21m),20' to 30' (6m to 9m),Average,Low,"Clay, Loam","Acid, Neutral",Moist but Well-Drained,"Fragrant, Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Missouri, Ohio, Northeast, Connecticut, Maine, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma",,,Prairie and Meadow,,Birds,,2 to 8
Magnolia grandiflora,7 to 10,"4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, H1, H2",Trees,Magnolia,"Full Sun, Partial Sun","Spring (Early,Mid,Late)-Summer (Early,Mid,Late)-FallWinter",60' to 80' (18m to 24m),30' to 50' (9m to 15m),Average,Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Fragrant, Showy, Evergreen, Fruit & Berries","United States, Northeast, Maryland, Southeast, Alabama, Arkansas, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Southwest, Texas",,,Prairie and Meadow,,Birds,,1 to 9
Magnolia tripetala,5 to 9,,Trees,Magnolia,"Full Sun, Partial Sun, Shade","Spring (Mid,Late)-Summer (Early)-",15' to 30' (4.5m to 9m),15' to 30' (4.5m to 9m),Average,Low,"Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Showy, Fruit & Berries","United States, Midwest, Indiana, Missouri, Ohio, Northeast, Connecticut, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma",,,Prairie and Meadow,,Birds,,5 to 9
Malus coronaria,4 to 8,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21",Trees,Malus - Crabapples,"Full Sun, Partial Sun","Spring (Late)-Summer (Early,Mid,Late)-Fall",20' to 30' (6m to 9m),20' to 30' (6m to 9m),Average,Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Fragrant, Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Kansas, Michigan, Missouri, Ohio, Wisconsin, Northeast, Delaware, Maryland, New Jersey, New York, Pennsylvania, Rocky Mountains, Wyoming, Southeast, Alabama, Arkansas, Georgia, Kentucky, Louisiana, North Carolina, South Carolina, Tennessee, Virginia, West Virginia",,,"City and Courtyard, Informal and Cottage, Traditional Garden",,Birds,,1 to 8
Mertensia virginica,3 to 8,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 21",Perennials,,"Partial Sun, Shade","Spring (Early,Mid)-",1' to 2' (30cm  to 60cm),1' to 2' (30cm to 60cm),Average,Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Plant of Merit, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Ohio, Wisconsin, Northeast, Delaware, Maine, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Southeast, Alabama, Arkansas, Georgia, Kentucky, Mississippi, North Carolina, Tennessee, Virginia, West Virginia",Rabbit,"Beds and Borders, Underplanting Roses and Shrubs","Gravel and Rock Garden, Informal and Cottage, Prairie and Meadow",,"Butterflies, Hummingbirds","12"" to 18"" (30cm to 45cm)",1 to 7
Mikania scandens,6 to 12,,Climbers,,"Full Sun, Partial Sun","Summer (Early,Mid,Late)-",8' to 10' (240cm to 3m),,"Average, High",Low,"Clay, Loam","Alkaline, Neutral","Moist but Well-Drained, Moisture Retentive",Showy,"United States, Midwest, Illinois, Indiana, Michigan, Missouri, Ohio, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Southwest, Oklahoma, Texas",Wet Soil,Walls and Fences,"Informal and Cottage, Prairie and Meadow",,Butterflies,,
Mimulus ringens,4 to 9,,"Aquatic Plants, Perennials",Mimulus - Monkey Flowers,"Full Sun, Partial Sun","Summer (Early,Mid,Late)-Fall",1' to 3' (30cm to 90cm),"10"" to 1' (25cm to 30cm)","Average, High",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Poorly Drained",Showy,"United States, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Rocky Mountains, Colorado, Southeast, Alabama, Arkansas, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Deer, Wet Soil","Beds and Borders, Edging, Ponds and Streams, Rain Gardens, Wall-Side Borders, Water Gardens",Informal and Cottage,,Butterflies,"12"" (30cm)",4 to 9
Mitchella repens,3 to 9,,Perennials,,"Partial Sun, Shade","Spring (Early,Mid,Late)-Summer (Early,Mid,Late)-FallWinter","1"" to 2"" (2cm to 5cm)","6"" to 1' (15cm to 30cm)",Average,Low,"Clay, Loam, Sand",Acid,Moist but Well-Drained,"Fragrant, Showy, Evergreen, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Texas",Dry Soil,"Beds and Borders, Ground Covers, Underplanting Roses and Shrubs","Gravel and Rock Garden, Informal and Cottage, Prairie and Meadow",,,"12"" (30cm)",1 to 9
Monarda bradburiana,5 to 8,,Perennials,Monarda - Bee Balms,"Full Sun, Partial Sun",Spring (Late)-,1' to 2' (30cm to 60cm),1' to 2' (30cm to 60cm),Average,Low,"Chalk, Loam, Sand","Acid, Neutral",Well-Drained,"Cut Flowers, Fragrant, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Missouri, Southeast, Alabama, Arkansas, Kentucky, Louisiana, Tennessee, Southwest, Oklahoma, Texas","Deer, Drought, Dry Soil, Rocky Soil",Beds and Borders,"Informal and Cottage, Prairie and Meadow",,"Butterflies, Hummingbirds","18"" to 24"" (45cm to 60cm)",
Monarda citriodora,2 to 11,,"Annuals, Perennials",Monarda - Bee Balms,"Full Sun, Partial Sun","Spring (Late)-Summer (Early,Mid)-",1' to 3' (30cm to 90cm),"9"" to 1' (22cm to 30cm)","Low, Average",Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Cut Flowers, Fragrant, Showy","United States, Midwest, Illinois, Kansas, Missouri, Nebraska, Rocky Mountains, Utah, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, South Carolina, Tennessee, Southwest, Arizona, New Mexico, Oklahoma, Texas","Deer, Drought, Dry Soil",Beds and Borders,"City and Courtyard, Informal and Cottage, Prairie and Meadow",,"Butterflies, Hummingbirds","12"" (30cm)",
