,Active Growth Period,After Harvest Regrowth Rate,Bloat,C:N Ratio,Coppice Potential,Fall Conspicuous,Fire Resistant,Flower Color,Flower Conspicuous,Foliage Color,Foliage Porosity Summer,Foliage Porosity Winter,Foliage Texture,Fruit/Seed Color,Fruit/Seed Conspicuous,Growth Form,Growth Rate,"Height, Mature (feet)",Known Allelopath,Leaf Retention,Low Growing Grass,Nitrogen Fixation,Resprout Ability,Shape and Orientation,Toxicity,Adapted to Coarse Textured Soils,Adapted to Fine Textured Soils,Adapted to Medium Textured Soils,Anaerobic Tolerance,CaCO3 Tolerance,Cold Stratification Required,Drought Tolerance,Fertility Requirement,Fire Tolerance,"Frost Free Days, Minimum",Hedge Tolerance,Moisture Use,"pH, Maximum","pH, Minimum","Planting Density per Acre, Maximum","Planting Density per Acre, Minimum","Precipitation, Maximum","Precipitation, Minimum","Root Depth, Minimum (inches)",Salinity Tolerance,Shade Tolerance,"Temperature, Minimum (°F)",Bloom Period,Commercial Availability,Fruit/Seed Abundance,Fruit/Seed Period Begin,Fruit/Seed Period End,Fruit/Seed Persistence,Propagated by Bare Root,Propagated by Bulb,Propagated by Container,Propagated by Corm,Propagated by Cuttings,Propagated by Seed,Propagated by Sod,Propagated by Sprigs,Propagated by Tubers,Seed per Pound,Seed Spread Rate,Seedling Vigor,Small Grain,Vegetative Spread Rate,Berry/Nut/Seed Product,Christmas Tree Product,Fodder Product,Lumber Product,Naval Store Product,Nursery Stock Product,Palatable Browse Animal,Palatable Graze Animal,Palatable Human,Post Product,Protein Potential,Pulpwood Product,Veneer Product,"Height at 20 Years, Maximum (feet)",Lifespan,Fuelwood Product
HETU,Spring and Summer,Slow,None,,No,Yes,No,Yellow,Yes,Yellow-Green,Dense,Porous,Coarse,Brown,No,Rhizomatous,Rapid,9.8,No,No,No,None,No,Erect,None,Yes,No,Yes,None,Medium,No,High,Medium,Medium,100,None,Low,7.0,4.0,10912,4800,55,15,6,Low,Intermediate,-43,Late Summer,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,Yes,75666,Moderate,Medium,No,Rapid,No,No,No,No,No,No,High,High,Yes,No,,No,No,,Moderate,
HECU3,"Spring, Summer, Fall",Slow,None,High,No,No,No,White,Yes,Gray-Green,Moderate,Porous,Coarse,Brown,No,Rhizomatous,Moderate,1.2,No,No,No,None,No,Decumbent,None,No,Yes,Yes,Low,None,No,Medium,Low,Medium,110,None,Medium,8.5,6.5,4800,2700,24,10,10,High,Intolerant,-28,Mid Spring,No Known Source,High,Summer,Fall,No,No,No,No,No,No,Yes,No,Yes,No,,Slow,Medium,No,Slow,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,Moderate,
HILA2,"Spring, Summer, Fall",,None,Medium,No,No,No,Purple,Yes,Green,Moderate,Porous,Coarse,Brown,No,Multiple Stem,Moderate,8.0,No,No,No,None,No,Erect,None,No,Yes,Yes,High,Low,No,Low,Medium,High,140,None,High,7.2,5.5,2700,1700,60,32,12,None,Intermediate,-13,Mid Summer,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Slow,Low,No,None,No,No,No,No,No,Yes,Low,Low,No,No,Low,No,No,,Moderate,
HIMO,Spring,Slow,None,,No,No,No,White,Yes,Gray-Green,Moderate,Porous,Coarse,Brown,No,Multiple Stem,Rapid,6.6,No,No,No,None,No,Erect,None,No,Yes,Yes,High,Medium,No,None,Medium,Low,160,None,High,7.5,4.0,3450,2728,65,35,10,Low,Intolerant,-13,Summer,Routinely Available,Low,Summer,Fall,No,No,No,Yes,No,No,Yes,No,No,No,200000,Slow,High,No,None,No,No,No,No,No,No,Low,Low,No,No,,No,No,,Moderate,
HYQU3,Spring and Summer,,None,High,No,Yes,No,White,Yes,Green,Moderate,Porous,Coarse,Brown,No,Multiple Stem,Rapid,6.0,No,No,No,None,Yes,Semi-Erect,None,Yes,Yes,Yes,None,Medium,No,Medium,Medium,Medium,165,Medium,Medium,7.5,4.6,1700,1200,60,32,14,None,Intolerant,-3,Late Spring,No Known Source,Medium,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Slow,Medium,No,None,No,No,No,No,No,Yes,,,No,No,,No,No,6,Moderate,
HYQU,Summer,Slow,None,,No,No,No,Blue,No,Green,Porous,Porous,Medium,Brown,No,Single Crown,Slow,1.5,No,No,No,None,No,Erect,None,Yes,Yes,Yes,High,Medium,No,Medium,Medium,Low,200,None,High,8.3,5.7,,,50,35,14,None,Intolerant,12,Indeterminate,No Known Source,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,2250000,Moderate,Medium,No,None,No,No,No,No,No,No,,Low,No,No,,No,No,,Moderate,
HYLI,Spring,,None,Medium,No,No,No,White,Yes,Green,Porous,Porous,Coarse,Green,No,Bunch,Rapid,3.0,No,No,No,None,No,Erect,None,No,Yes,Yes,Medium,Medium,No,Low,Medium,Medium,200,None,Medium,9.0,5.5,10912,3450,60,30,12,None,Intolerant,3,Mid Spring,Routinely Available,Medium,Spring,Summer,No,No,Yes,No,No,No,Yes,No,No,No,,Slow,Medium,No,None,No,No,No,No,No,No,,Low,No,No,,No,No,,Long,
HYCI,Summer,,None,Medium,No,No,No,Yellow,Yes,Green,Moderate,Porous,Coarse,Brown,No,Stoloniferous,Moderate,2.5,No,No,No,None,Yes,Semi-Erect,None,Yes,No,Yes,None,Low,Yes,Medium,Low,Medium,160,None,Medium,7.0,4.6,10000,2700,55,32,9,None,Intolerant,-33,Early Summer,No Known Source,Medium,Summer,Summer,No,Yes,No,Yes,No,No,No,No,No,No,,Slow,Medium,No,None,No,No,No,No,No,No,,,No,No,,No,No,,Moderate,
HYDE,Spring,,None,,No,No,No,Yellow,No,Green,Dense,Moderate,Fine,Brown,No,Multiple Stem,Slow,6.6,No,No,No,None,Yes,Erect,None,Yes,Yes,Yes,Medium,Low,No,Low,Low,Low,140,None,Medium,7.5,4.0,2700,1700,50,35,18,None,Tolerant,7,Late Spring,Routinely Available,Medium,Spring,Summer,Yes,Yes,No,Yes,No,No,No,No,No,No,,Slow,Low,No,None,No,No,No,No,No,No,Low,Low,No,No,,No,No,,Moderate,
HYDE2,Summer,,None,Medium,No,No,No,Yellow,Yes,Green,Porous,Porous,Coarse,Brown,No,Single Crown,Slow,2.0,No,No,No,None,No,Decumbent,None,Yes,Yes,Yes,Medium,Low,Yes,Medium,Low,Medium,185,None,Medium,6.4,4.8,7000,4800,55,36,10,None,Intermediate,2,Early Summer,No Known Source,Medium,Summer,Summer,No,No,No,Yes,No,No,No,No,Yes,No,,Slow,Medium,No,None,No,No,No,No,No,No,,,No,No,,No,No,,Moderate,
HYGE,"Spring, Summer, Fall",,None,Medium,No,No,No,Yellow,Yes,Green,Porous,Porous,Fine,Black,No,Single Crown,Rapid,2.0,No,No,No,None,No,Erect,None,Yes,No,Yes,None,Low,No,Medium,Low,None,100,None,Low,7.0,4.6,7000,4800,55,30,6,None,Intermediate,47,Late Spring,No Known Source,High,Summer,Fall,No,No,No,No,No,No,No,No,Yes,No,,Moderate,Medium,No,None,No,No,No,No,No,No,,,No,No,,No,No,,,
HYPR,Spring and Summer,,None,High,No,No,No,Yellow,Yes,Green,Moderate,Porous,Medium,Brown,No,Single Crown,Moderate,3.2,No,No,No,None,No,Erect,None,Yes,Yes,Yes,Medium,Low,No,Low,Medium,Low,100,None,High,7.2,4.6,7000,4800,55,30,10,None,Intermediate,-28,Late Spring,No Known Source,Medium,Summer,Summer,No,No,No,No,No,No,No,No,Yes,No,,Moderate,Medium,No,None,No,No,No,No,No,No,,,No,No,,No,No,,Moderate,
HYPU,Summer,Slow,None,Medium,No,No,No,Yellow,Yes,Green,Moderate,Porous,Coarse,Brown,No,Single Crown,Moderate,3.0,No,No,No,None,No,Erect,None,Yes,Yes,Yes,Medium,Low,Yes,Low,Medium,Medium,95,None,Medium,7.0,4.6,7000,4800,55,32,10,None,Tolerant,-33,Early Summer,No Known Source,Medium,Summer,Summer,No,No,No,No,No,No,No,No,Yes,No,,Slow,Medium,No,None,No,No,No,No,No,No,,,No,No,,No,No,,Moderate,
ILAM2,Spring,,None,,No,No,No,Yellow,No,Green,Dense,Moderate,Medium,Red,Yes,Multiple Stem,Slow,16.0,No,No,No,None,Yes,Erect,Slight,Yes,No,Yes,Low,Low,No,Medium,Low,Medium,200,Medium,Medium,6.5,3.5,3450,1746,60,45,12,None,Tolerant,12,Mid Spring,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,,Slow,Medium,No,None,No,No,No,No,No,No,Medium,Medium,No,No,,No,No,16,Long,
ILCA,Spring and Summer,,None,,Yes,No,No,Yellow,No,Dark Green,Dense,Dense,Medium,Red,Yes,Single Stem,Moderate,26.0,No,Yes,No,None,Yes,Erect,Slight,Yes,Yes,Yes,High,Low,No,Low,Low,High,200,Medium,High,6.5,3.5,3450,1746,65,45,12,Low,Tolerant,12,Spring,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,,Slow,Low,No,Moderate,No,No,No,No,No,No,Low,Low,No,No,,No,No,26,Short,
ILCO,Spring and Summer,,None,High,Yes,Yes,Yes,White,No,Dark Green,Dense,Dense,Medium,Black,Yes,Thicket Forming,Moderate,12.0,No,Yes,No,None,Yes,Erect,None,No,Yes,Yes,High,None,Yes,Low,Medium,None,200,High,High,6.7,5.5,1200,700,70,30,16,None,Tolerant,7,Late Spring,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,110000,Slow,Medium,No,,No,No,No,No,No,Yes,,,No,No,,No,No,12,Moderate,
ILDE,Spring and Summer,,None,,Yes,No,No,Yellow,No,Dark Green,Dense,Moderate,Medium,Red,Yes,Multiple Stem,Rapid,33.0,No,No,No,None,Yes,Erect,Slight,Yes,Yes,Yes,Medium,Low,No,Medium,Low,High,160,Medium,Medium,6.5,3.5,3450,1746,60,30,12,None,Tolerant,-18,Spring,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,,Rapid,High,No,Moderate,No,No,No,No,No,Yes,High,High,No,No,,No,No,33,Moderate,
ILGL,Summer and Fall,,None,High,No,No,Yes,White,No,Green,Moderate,Porous,Coarse,Black,Yes,Multiple Stem,Slow,8.0,No,Yes,No,None,No,Erect,None,Yes,Yes,Yes,High,Medium,Yes,Low,Medium,Low,165,Medium,High,7.0,4.5,2700,1200,60,32,16,Medium,Intolerant,-13,Spring,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,29000,Slow,Low,No,None,No,No,No,No,No,Yes,Low,Low,No,No,Low,No,No,5,Long,
ILVE,Spring and Summer,,None,High,No,Yes,No,White,No,Green,Dense,Moderate,Coarse,Red,Yes,Multiple Stem,Moderate,10.0,No,No,No,None,Yes,Climbing,None,No,Yes,Yes,Low,Low,Yes,Low,Medium,Low,140,Low,High,7.5,4.5,2700,700,60,35,16,None,Intermediate,-28,Late Spring,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,92000,Slow,Low,No,None,No,No,No,No,No,Yes,Low,Low,No,No,Low,No,No,6,Moderate,
ILVO,Spring and Summer,,None,High,Yes,Yes,No,White,No,Green,Moderate,Moderate,Coarse,Red,Yes,Multiple Stem,Slow,25.0,No,Yes,No,None,Yes,Erect,None,Yes,No,Yes,None,Low,Yes,High,Low,Low,200,Low,Low,7.0,4.5,1200,680,55,36,20,Medium,Intermediate,7,Mid Spring,Routinely Available,Medium,,,Yes,Yes,No,Yes,No,No,Yes,No,No,No,37800,Slow,Low,No,None,No,No,No,No,No,Yes,Low,Low,No,No,Low,No,No,20,Long,
IMCA,Summer,Slow,None,,No,No,No,Yellow,No,Green,Moderate,Porous,Medium,Brown,No,Single Crown,Rapid,4.9,No,No,No,None,No,Erect,None,Yes,Yes,Yes,Low,Low,No,Low,Medium,Medium,95,None,Medium,7.4,6.4,,,50,14,14,None,Tolerant,32,Indeterminate,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,700000,Slow,High,No,None,No,No,No,No,No,No,,,No,No,,No,No,,,
IMPA,Summer,Slow,None,,No,No,No,Yellow,No,Green,Moderate,Porous,Medium,Brown,No,Single Crown,Rapid,8.2,No,No,No,None,No,Erect,None,Yes,Yes,Yes,Low,High,No,Low,Medium,Medium,110,None,Medium,7.4,6.8,,,50,28,14,None,Tolerant,32,Indeterminate,Routinely Available,High,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,700000,Slow,High,No,None,No,No,No,No,No,No,,,No,No,,No,No,,,
IPPE,Year Round,,None,Medium,No,No,Yes,Red,Yes,Green,Dense,Dense,Medium,Green,No,Single Stem,Moderate,1.0,No,Yes,No,None,No,Prostrate,None,Yes,No,Yes,None,High,No,Medium,Medium,Medium,365,Medium,Medium,7.5,6.0,40000,1000,80,30,24,High,Intermediate,17,Indeterminate,Routinely Available,Medium,Year Round,Year Round,Yes,Yes,No,Yes,No,No,Yes,No,No,No,10000,Moderate,Medium,No,Moderate,No,No,No,No,No,No,,,No,No,,No,No,,Long,
IRFU,Spring,,None,Medium,No,No,No,Red,Yes,Green,Moderate,Porous,Medium,Green,No,Rhizomatous,Moderate,3.3,No,No,No,None,No,Erect,None,No,Yes,Yes,High,High,No,Low,Medium,Medium,180,None,High,8.5,5.0,19360,2728,65,40,16,None,Tolerant,-24,Mid Spring,Routinely Available,High,Spring,Summer,No,No,Yes,No,No,No,Yes,No,No,Yes,,Slow,High,No,Moderate,No,No,No,No,No,No,Medium,Medium,No,No,,No,No,,Moderate,
IRVI,Spring,,None,,No,No,No,Blue,Yes,Green,Porous,Porous,Coarse,Black,No,Rhizomatous,Moderate,3.3,No,No,No,None,No,Erect,None,No,Yes,Yes,High,Low,No,None,Medium,None,200,None,High,7.3,4.8,10912,2728,65,45,6,None,Tolerant,12,Spring,Routinely Available,Low,Summer,Fall,No,No,Yes,No,No,No,Yes,No,No,No,,Slow,Medium,No,Moderate,No,No,No,No,No,Yes,Low,Low,No,No,,No,No,,Moderate,
ITVI,Spring,,None,Medium,No,No,No,White,Yes,Green,Porous,Porous,Medium,Brown,No,Stoloniferous,Slow,10.0,No,No,No,None,No,Erect,None,No,Yes,Yes,High,Medium,No,Low,Low,Medium,180,None,High,7.5,4.0,3450,1212,60,30,14,None,Tolerant,-24,Mid Spring,Routinely Available,Low,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,,Slow,Medium,No,Slow,No,No,No,No,No,No,High,Medium,No,No,,No,No,10,Short,
IVFR,Spring and Summer,,None,High,No,No,No,White,Yes,Green,Dense,Moderate,Coarse,White,No,Multiple Stem,Moderate,9.0,No,No,No,None,Yes,Vase,None,Yes,Yes,Yes,High,Medium,No,Low,Low,Medium,200,Medium,High,5.7,5.0,2700,1200,65,35,16,High,Intolerant,2,Late Summer,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,800000,Moderate,Low,No,None,No,No,No,No,No,Yes,Low,Low,No,No,Low,No,No,9,Long,
JUCI,Spring and Summer,,None,High,Yes,Yes,No,Green,No,Green,Moderate,Porous,Coarse,Brown,Yes,Single Stem,Rapid,80.0,Yes,No,No,None,Yes,Erect,Slight,Yes,No,Yes,None,None,Yes,Low,Medium,Low,105,Low,Medium,7.0,6.0,800,100,80,25,40,None,Intolerant,-33,Late Spring,Routinely Available,Medium,Fall,Winter,Yes,Yes,No,Yes,No,No,Yes,No,No,No,30,Slow,High,No,None,Yes,No,No,Yes,No,Yes,Low,Low,Yes,Yes,,Yes,Yes,20,Short,High
JUAC,Spring and Summer,Slow,None,High,No,No,No,Purple,No,Green,Porous,Porous,Medium,Brown,No,Bunch,Moderate,3.0,No,No,No,None,No,Erect,None,Yes,Yes,Yes,High,Medium,No,Low,Medium,High,80,None,High,7.2,4.4,2700,1700,55,16,12,None,Intermediate,-33,Spring,Routinely Available,Medium,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,,Slow,Medium,No,None,No,No,Yes,No,No,No,Low,Low,No,No,Low,No,No,,Moderate,
JUBR,Spring and Summer,Slow,None,Medium,No,No,No,Green,No,Green,Moderate,Porous,Fine,Brown,No,Rhizomatous,Moderate,3.0,No,No,No,None,No,Erect,None,Yes,Yes,Yes,High,Low,No,Low,Medium,Medium,140,None,Medium,6.7,4.5,4800,2700,55,35,8,None,Intermediate,-23,Late Spring,Routinely Available,High,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,,Slow,Medium,No,Moderate,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,Long,
JUBU,"Spring, Summer, Fall",Slow,None,Medium,No,No,No,Green,No,Green,Porous,Porous,Fine,Brown,No,Bunch,Rapid,1.0,No,No,No,None,No,Semi-Erect,None,Yes,Yes,Yes,High,Medium,No,Low,Low,None,60,None,Medium,7.6,4.6,4800,2700,55,10,6,Medium,Intolerant,47,Spring,Routinely Available,High,Summer,Fall,No,Yes,No,No,No,No,No,No,Yes,No,45359242,Moderate,High,No,None,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,,
JUCA3,"Spring, Summer, Fall",Slow,None,Medium,No,No,No,Green,No,Green,Dense,Porous,Fine,Brown,No,Bunch,Rapid,3.2,No,No,No,None,No,Erect,None,Yes,Yes,Yes,High,None,No,None,Low,High,80,None,Medium,5.9,4.5,4800,1700,60,28,12,Medium,Intermediate,-33,Mid Summer,Routinely Available,High,Summer,Fall,No,Yes,No,No,No,No,Yes,No,Yes,No,4535925,Moderate,Medium,No,None,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,Long,
JUDI,"Spring, Summer, Fall",Slow,None,High,No,No,No,Green,No,Red,Dense,Porous,Coarse,Brown,No,Bunch,Moderate,2.9,No,No,No,None,No,Erect,None,Yes,No,Yes,High,Low,No,Low,Low,High,200,None,Medium,6.5,4.5,4800,2700,60,13,8,Low,Intermediate,12,Early Summer,Routinely Available,Low,Summer,Fall,No,Yes,No,No,No,No,Yes,No,Yes,No,,Slow,Medium,No,None,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,Moderate,
JUEF,Spring,Slow,None,Medium,No,No,Yes,Brown,No,Dark Green,Moderate,Porous,Coarse,Yellow,No,Bunch,Moderate,6.6,No,No,No,None,No,Erect,None,Yes,Yes,Yes,Medium,Low,No,Medium,Medium,High,120,None,Medium,8.8,5.5,4800,2800,60,18,24,Low,Intolerant,-38,Summer,Routinely Available,Medium,Summer,Fall,Yes,No,No,No,No,No,Yes,No,Yes,No,45359242,Slow,High,No,None,No,No,Yes,No,No,No,High,Medium,No,No,Medium,No,No,,Long,
JUMA4,Spring and Summer,Slow,None,Medium,No,No,No,Brown,No,Green,Moderate,Porous,Medium,Brown,No,Rhizomatous,Moderate,2.0,No,No,No,None,No,Erect,None,Yes,No,Yes,Medium,Medium,No,Low,Low,High,90,None,Medium,6.8,5.5,4800,2700,55,32,8,None,Intermediate,-23,Late Spring,Routinely Available,Medium,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,,Slow,Medium,No,Slow,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,Long,
JUME,"Spring, Summer, Fall",Slow,None,Medium,No,No,No,Green,No,Green,Moderate,Porous,Coarse,Brown,No,Rhizomatous,Moderate,3.1,No,No,No,None,No,Erect,None,Yes,Yes,Yes,High,Medium,No,None,Low,High,200,None,High,6.8,4.5,4800,2700,55,36,10,Medium,Tolerant,12,Early Summer,No Known Source,Medium,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,,Moderate,Medium,No,Slow,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,Long,
JURE2,"Spring, Summer, Fall",,None,Low,No,No,No,Green,No,Green,Porous,Porous,Fine,Brown,No,Rhizomatous,Rapid,6.8,No,No,No,None,No,Decumbent,None,Yes,Yes,Yes,High,Low,No,None,Low,High,180,None,High,7.0,5.5,4800,1700,60,35,3,None,Intolerant,12,Late Spring,No Known Source,Low,Summer,Fall,No,Yes,No,No,No,No,Yes,No,Yes,No,,Slow,High,No,Rapid,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,Short,
JURO,Spring,Slow,None,,No,No,No,Green,No,Dark Green,Moderate,Porous,Coarse,Brown,No,Bunch,Moderate,4.9,No,No,No,None,No,Erect,None,No,Yes,Yes,High,High,No,None,Medium,Medium,200,None,High,7.0,4.0,11000,3450,60,40,14,High,Intolerant,17,Spring,Routinely Available,Medium,Summer,Fall,Yes,No,No,No,No,No,Yes,No,Yes,No,,Rapid,Medium,No,None,No,No,No,No,No,No,,Low,No,No,,No,No,,Long,
JUSC,Spring and Summer,Slow,None,Medium,No,No,No,Green,No,Green,Moderate,Porous,Medium,Brown,No,Rhizomatous,Moderate,3.0,No,No,No,None,No,Erect,None,Yes,No,Yes,High,Medium,No,None,Medium,High,145,None,High,6.8,5.6,4800,2700,55,36,10,Low,Tolerant,-3,Late Spring,Routinely Available,High,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,,Slow,Medium,No,Slow,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,Long,
JUSE,"Spring, Summer, Fall",Slow,None,Medium,No,No,No,Green,No,Green,Porous,Porous,Fine,Brown,No,Bunch,Moderate,1.5,No,No,No,None,No,Erect,None,Yes,No,Yes,Low,Low,No,Low,Low,High,85,None,Low,6.8,4.9,11000,4800,55,32,8,None,Intolerant,-33,Late Spring,No Known Source,Low,Summer,Fall,No,Yes,No,No,No,No,Yes,No,Yes,No,,Slow,Low,No,None,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,Moderate,
JUSU,"Spring, Summer, Fall",Slow,None,Medium,No,No,No,Green,No,Green,Porous,Porous,Medium,Brown,No,Bunch,Moderate,2.2,No,No,No,None,No,Decumbent,None,No,Yes,Yes,High,Medium,No,None,Low,High,145,None,High,6.0,4.5,4800,1700,55,36,8,None,Tolerant,-8,Mid Summer,No Known Source,Medium,Summer,Fall,No,Yes,No,No,No,No,Yes,No,Yes,No,,Moderate,Medium,No,None,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,Moderate,
JUTO,Summer,Slow,None,Medium,No,No,No,Green,No,Green,Moderate,Porous,Coarse,Brown,No,Rhizomatous,Moderate,3.1,No,No,No,None,No,Erect,None,Yes,No,Yes,Medium,Low,No,Low,Low,Medium,85,None,Medium,6.5,4.5,2700,1700,50,14,10,Low,Intolerant,-38,Mid Summer,Routinely Available,Medium,Summer,Fall,No,Yes,No,No,No,No,Yes,No,Yes,No,,Moderate,Medium,No,Moderate,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,Long,
JUCO6,Spring and Summer,,None,High,No,No,No,Yellow,No,Green,Dense,Dense,Medium,Blue,Yes,Single Stem,Slow,10.0,Yes,Yes,No,None,No,Semi-Erect,None,Yes,Yes,Yes,None,High,Yes,High,Low,Low,90,Medium,Low,8.0,5.5,2200,700,60,20,14,Medium,Intolerant,-43,Mid Spring,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,40363,Slow,Low,No,None,No,No,No,No,No,Yes,Low,Low,No,No,Low,No,No,5,Long,
JUAM,Spring,,None,Medium,No,No,No,White,Yes,Dark Green,,,Fine,Brown,No,Rhizomatous,Rapid,2.5,No,No,No,None,No,Erect,None,Yes,Yes,Yes,High,Medium,No,Low,Low,Low,140,None,Medium,7.6,5.4,10912,3450,60,35,10,None,Tolerant,-28,Late Spring,Routinely Available,Medium,Spring,Fall,No,Yes,No,No,No,No,No,No,No,No,350000,Moderate,High,No,Rapid,No,No,No,No,No,No,Medium,Medium,No,No,,No,No,,,
KALA,Spring and Summer,,None,High,No,No,No,Purple,Yes,Green,Moderate,Moderate,Coarse,Brown,No,Multiple Stem,Slow,6.0,No,Yes,No,None,Yes,Semi-Erect,None,Yes,No,Yes,None,None,No,High,Low,Medium,150,Low,Low,5.5,4.5,1700,300,60,32,24,None,Tolerant,-23,Mid Spring,Routinely Available,Low,Spring,Summer,No,Yes,No,Yes,No,Yes,Yes,No,No,No,15000000,Slow,Low,No,None,No,No,No,No,No,Yes,Low,Low,No,No,Low,No,No,5,Long,
KOMA,Spring and Fall,Moderate,None,Medium,No,No,No,Yellow,No,Green,Moderate,Porous,Fine,Brown,No,Bunch,Rapid,1.5,No,No,No,None,No,Erect,None,Yes,No,Yes,None,High,No,High,Medium,High,150,None,High,8.0,6.0,,,20,14,20,None,Tolerant,-38,Late Spring,Routinely Available,Low,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,2315000,Slow,Low,No,None,No,No,Yes,No,No,No,Medium,High,No,No,Medium,No,No,,Short,
LACA5,Summer,,None,Medium,No,No,No,White,No,Gray-Green,,,Fine,Blue,No,Rhizomatous,Moderate,3.0,No,No,No,None,No,Erect,None,Yes,Yes,Yes,High,Low,No,Low,Low,High,200,None,Medium,7.4,4.0,10912,3450,55,30,12,None,Intolerant,13,Late Spring,Routinely Available,Low,Spring,Fall,No,Yes,No,No,No,No,Yes,No,No,No,,Slow,Medium,No,Moderate,No,No,No,No,No,No,Low,Low,No,No,,No,No,,Long,
LELE2,Spring,,None,Medium,No,No,No,Green,No,Green,,,Fine,Red,No,Rhizomatous,Moderate,2.6,No,No,No,None,No,Erect,None,Yes,Yes,Yes,High,Medium,No,Low,Medium,Medium,200,None,Medium,8.0,5.0,19000,10912,60,25,10,None,Intolerant,-33,Fall,No Known Source,Medium,Fall,Fall,No,Yes,No,No,No,No,No,No,No,No,,Slow,Medium,No,Slow,No,No,No,No,No,No,,High,No,No,,No,No,,Long,
LEOR,Summer,Moderate,None,,No,No,No,Green,No,Dark Green,Moderate,Porous,Fine,Red,No,Rhizomatous,Moderate,4.9,No,No,No,None,No,Erect,None,Yes,Yes,Yes,Medium,Medium,No,Low,Medium,High,110,None,High,8.8,5.1,19360,11000,50,12,14,None,Intolerant,-33,Indeterminate,Routinely Available,High,Spring,Fall,No,Yes,No,No,No,No,No,No,No,No,498454,Moderate,Medium,No,Moderate,No,No,No,No,No,No,,High,No,No,,No,No,,Moderate,
LEVI2,Spring,Moderate,None,,No,No,No,Green,No,Green,Porous,Porous,Fine,Red,No,Rhizomatous,Moderate,3.9,No,No,Yes,None,No,Erect,None,Yes,No,Yes,Medium,Medium,No,None,Medium,None,120,None,Medium,8.5,4.5,19360,10912,65,15,4,None,Tolerant,-43,Late Summer,Routinely Available,Medium,Summer,Fall,No,Yes,No,No,No,No,No,No,No,No,,Slow,Medium,No,Moderate,No,No,No,No,No,No,High,High,No,No,,No,No,,Short,
LEMI3,Summer,,None,,No,No,Yes,Green,No,Green,,,Fine,,No,Single Crown,Rapid,,No,No,No,None,No,Decumbent,None,No,No,No,High,Medium,No,None,Medium,,100,None,High,8.8,4.1,4800,3500,,,0,Low,Intolerant,-38,Summer,Routinely Available,,Summer,Summer,No,No,No,No,No,No,Yes,No,Yes,No,,Rapid,High,No,Rapid,No,No,No,No,No,No,,,No,No,,No,No,,Short,
LETR,Summer,,None,Low,No,No,Yes,Green,No,Green,Porous,Porous,Fine,Green,No,Stoloniferous,Rapid,0.3,No,No,No,None,No,Decumbent,None,No,No,No,High,Low,No,None,Medium,High,145,None,High,7.0,5.7,11000,4800,,,0,None,Intolerant,-38,Late Spring,Routinely Available,None,Summer,Summer,No,No,No,No,No,No,No,No,Yes,No,,None,,No,Moderate,No,No,No,No,No,No,,Medium,No,No,Medium,No,No,,Short,
