Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
PTTR,,Ptelea trifoliata L.,common hoptree
PUGL2,,Purshia glandulosa Curran,desert bitterbrush
PUGR2,,Punica granatum L.,pomegranate
PUNU2,,Puccinellia nuttalliana (Schult.) Hitchc.,Nuttall's alkaligrass
PUST,,Purshia stansburiana (Torr.) Henrickson,Stansbury cliffrose
PUTR2,,Purshia tridentata (Pursh) DC.,antelope bitterbrush
PYCA80,,Pyrus calleryana Decne.,Callery pear
PYCO,,Pyrus communis L.,common pear
PYCO2,,Pyracantha coccinea M. Roem.,scarlet firethorn
PYUS2,,Pyrus ussuriensis Maxim.,Chinese pear
QUAC80,,Quercus acutissima Carruthers,sawtooth oak
QUAG,,Quercus agrifolia Née,California live oak
QUAL,,Quercus alba L.,white oak
QUBI,,Quercus bicolor Willd.,swamp white oak
QUCH2,,Quercus chrysolepis Liebm.,canyon live oak
QUCO2,,Quercus coccinea Münchh.,scarlet oak
QUDO,,Quercus douglasii Hook. & Arn.,blue oak
QUDU,,Quercus dumosa Nutt.,coastal sage scrub oak
QUFA,,Quercus falcata Michx.,southern red oak
QUGA,,Quercus gambelii Nutt.,Gambel oak
QUGA4,,Quercus garryana Douglas ex Hook.,Oregon white oak
QUIM,,Quercus imbricaria Michx.,shingle oak
QUKE,,Quercus kelloggii Newberry,California black oak
QULA2,,Quercus laevis Walter,turkey oak
QULA3,,Quercus laurifolia Michx.,laurel oak
QULO,,Quercus lobata Née,valley oak
QULY,,Quercus lyrata Walter,overcup oak
QUMA2,,Quercus macrocarpa Michx.,bur oak
QUMA3,,Quercus marilandica Münchh.,blackjack oak
QUMI,,Quercus michauxii Nutt.,swamp chestnut oak
QUMO4,,Quercus montana Willd.,chestnut oak
QUMO4,QUPR2,"Quercus prinus L. p.p., nom. utique rej.",
QUMU,,Quercus muehlenbergii Engelm.,chinquapin oak
QUNI,,Quercus nigra L.,water oak
QUPA2,,Quercus palustris Münchh.,pin oak
QUPA5,,Quercus pagoda Raf.,cherrybark oak
QUPH,,Quercus phellos L.,willow oak
QUPU80,,Quercus pumila Walter,running oak
QURU,,Quercus rubra L.,northern red oak
QUSH,,Quercus shumardii Buckley,Shumard's oak
QUST,,Quercus stellata Wangenh.,post oak
QUTE,,Quercus texana Buckley,Nuttall oak
QUVA,,Quercus vacciniifolia Kellogg,huckleberry oak
QUVE,,Quercus velutina Lam.,black oak
QUVI,,Quercus virginiana Mill.,live oak
RAAB,,Ranunculus abortivus L.,littleleaf buttercup
RAAL,,Ranunculus alismifolius Geyer ex Benth.,plantainleaf buttercup
RACO3,,Ratibida columnifera (Nutt.) Wooton & Standl.,upright prairie coneflower
RACY,,Ranunculus cymbalaria Pursh,alkali buttercup
RAES,,Ranunculus eschscholtzii Schltdl.,Eschscholtz's buttercup
RAFL2,,Ranunculus flammula L.,greater creeping spearwort
RAGL,,Ranunculus glaberrimus Hook.,sagebrush buttercup
RAHI,,Ranunculus hispidus Michx.,bristly buttercup
RAHY2,,Ranunculus hyperboreus Rottb.,high northern buttercup
RALA2,,Ranunculus laxicaulis (Torr. & A. Gray) Darby,Mississippi buttercup
RALO2,,Ranunculus longirostris Godr.,longbeak buttercup
RAMA2,,Ranunculus macounii Britton,Macoun's buttercup
RANI2,,Rauvolfia nitida Jacq.,palo amargo
RAPE2,,Ranunculus pensylvanicus L. f.,Pennsylvania buttercup
RAPI,,Ratibida pinnata (Vent.) Barnhart,pinnate prairie coneflower
RARE3,,Ranunculus repens L.,creeping buttercup
RASC3,,Ranunculus sceleratus L.,cursed buttercup
RATA,,Ratibida tagetes (James) Barnhart,green prairie coneflower
RHAL,,Rhamnus alnifolia L'Hér.,alderleaf buckthorn
RHAL2,,Rhododendron albiflorum Hook.,Cascade azalea
RHAR3,,Rhododendron arborescens (Pursh) Torr.,smooth azalea
RHARS,,Rhus aromatica Aiton var. serotina (Greene) Rehder,fragrant sumac
RHAT,,Rhododendron atlanticum (Ashe) Rehder,dwarf azalea
RHCA6,,Rhododendron canadense (L.) Torr.,rhodora
RHCA7,,Rhododendron canescens (Michx.) Sweet,mountain azalea
RHCO,,Rhus copallinum L.,winged sumac
RHCO2,,Rhynchospora corniculata (Lam.) A. Gray,shortbristle horned beaksedge
RHCR,,Rhamnus crocea Nutt.,redberry buckthorn
RHGL,,Rhus glabra L.,smooth sumac
RHLA2,,Rhododendron lapponicum (L.) Wahlenb.,Lapland rosebay
RHMA3,,Rhododendron macrophyllum D. Don ex G. Don,Pacific rhododendron
RHMA4,,Rhododendron maximum L.,great laurel
RHMI3,,Rhus microphylla Engelm. ex A. Gray,littleleaf sumac
RHOC,,Rhododendron occidentale (Torr. & A. Gray) A. Gray,western azalea
RHOV,,Rhus ovata S. Watson,sugar sumac
RHPE4,,Rhododendron periclymenoides (Michx.) Shinners,pink azalea
RHTR,,Rhus trilobata Nutt.,skunkbush sumac
RHTY,,Rhus typhina L.,staghorn sumac
RHTY,RHHI2,"Rhus hirta (L.) Sudw., nom. utique rej.",
RHVI2,,Rhododendron viscosum (L.) Torr.,swamp azalea
RIAM2,,Ribes americanum Mill.,American black currant
RIAU,,Ribes aureum Pursh,golden currant
RIAUV,,Ribes aureum Pursh var. villosum DC.,golden currant
RICE,,Ribes cereum Douglas,wax currant
RIER,,Ribes erythrocarpum Coville & Leiberg,Crater Lake currant
RIHU,,Ribes hudsonianum Richardson,northern black currant
RIIN2,,Ribes inerme Rydb.,whitestem gooseberry
RILA,,Ribes lacustre (Pers.) Poir.,prickly currant
RIMO2,,Ribes montigenum McClatchie,gooseberry currant
RINE,,Ribes nevadense Kellogg,Sierra currant
RIRO,,Ribes roezlii Regel,Sierra gooseberry
RISA,,Ribes sanguineum Pursh,redflower currant
RITR,,Ribes triste Pall.,red currant
RIVI,,Ribes viburnifolium A. Gray,island gooseberry
RIVI3,,Ribes viscosissimum Pursh,sticky currant
ROAC,,Rosa acicularis Lindl.,prickly rose
ROBO,,Roystonea borinquena O.F. Cook,Puerto Rico royal palm
ROCA2,,Rosa californica Cham. & Schltdl.,California wildrose
ROCA4,,Rosa carolina L.,Carolina rose
ROCU,,Rorippa curvisiliqua (Hook.) Besser ex Britton,curvepod yellowcress
ROGY,,Rosa gymnocarpa Nutt.,dwarf rose
ROHIF8,,Robinia hispida L. var. fertilis (Ashe) R.T. Clausen,bristly locust
RONE,,Robinia neomexicana A. Gray,New Mexico locust
RONU,,Rosa nutkana C. Presl,Nootka rose
ROOF,,Rosmarinus officinalis L.,rosemary
ROPA,,Rosa palustris Marshall,swamp rose
ROPI2,,Rosa pisocarpa A. Gray,cluster rose
ROPS,,Robinia pseudoacacia L.,black locust
RORU,,Rosa rugosa Thunb.,rugosa rose
RORU82,,Rosa rubiginosa L.,sweetbriar rose
RORU82,ROEG,"Rosa eglanteria L., nom. utique rej.",
ROSE,,Rorippa sessiliflora (Nutt.) Hitchc.,stalkless yellowcress
ROSE2,,Rosa setigera Michx.,climbing rose
ROSI2,,Rorippa sinuata (Nutt.) Hitchc.,spreading yellowcress
ROSY,,Rorippa sylvestris (L.) Besser,creeping yellowcress
ROVI2,,Rosa virginiana Mill.,Virginia rose
ROWI,,Rosa wichuraiana Crép.,memorial rose
ROWO,,Rosa woodsii Lindl.,Woods' rose
RUAL,,Rubus allegheniensis Porter,Allegheny blackberry
RUAL9,,Rubus alumnus L.H. Bailey,oldfield blackberry
RUAR,,Rubus arcticus L.,arctic raspberry
RUAR2,,Rubus argutus Link,sawtooth blackberry
RUAR6,,Rumex arcticus Trautv.,arctic dock
RUBA2,,Rubus baileyanus Britton,Bailey's dewberry
RUCH,,Rubus chamaemorus L.,cloudberry
RUCU,,Rubus cuneifolius Pursh,sand blackberry
RUFL,,Rubus flagellaris Willd.,northern dewberry
RUHI,,Rubus hispidus L.,bristly dewberry
RUHI2,,Rudbeckia hirta L.,blackeyed Susan
RUHU,,Ruellia humilis Nutt.,fringeleaf wild petunia
RUID,,Rubus idaeus L.,American red raspberry
RUIDS2,,Rubus idaeus L. ssp. strigosus (Michx.) Focke,grayleaf red raspberry
RULA,,Rubus laciniatus Willd.,cutleaf blackberry
RULA3,,Rudbeckia laciniata L.,cutleaf coneflower
RULE,,Rubus leucodermis Douglas ex Torr. & A. Gray,whitebark raspberry
RUMA3,,Rudbeckia maxima Nutt.,great coneflower
RUMA4,,Rumex maritimus L.,golden dock
RUMA5,,Ruppia maritima L.,widgeongrass
RUNI3,,Rudbeckia nitida Nutt.,shiny coneflower
RUOC,,Rubus occidentalis L.,black raspberry
RUOD,,Rubus odoratus L.,purpleflowering raspberry
RUPA,,Rubus parviflorus Nutt.,thimbleberry
RUSP,,Rubus spectabilis Pursh,salmonberry
RUST2,,Ruellia strepens L.,limestone wild petunia
RUUR,,Rubus ursinus Cham. & Schltdl.,California blackberry
SAAL,,Salix alaxensis (Andersson) Coville,feltleaf willow
SAAL2,,Salix alba L.,white willow
SAAL5,,Sassafras albidum (Nutt.) Nees,sassafras
SAAM2,,Salix amygdaloides Andersson,peachleaf willow
SAAR3,,Salix arbusculoides Andersson,littletree willow
SAAZG,,Salvia azurea Michx. ex Lam. var. grandiflora Benth.,pitcher sage
SABA3,,Salix barclayi Andersson,Barclay's willow
SABE2,,Salix bebbiana Sarg.,Bebb willow
SABO,,Salix bonplandiana Kunth,Bonpland willow
SABO2,,Salix boothii Dorn,Booth's willow
SABR,,Salix brachycarpa Nutt.,shortfruit willow
SABR18,,Saccharum brevibarbe (Michx.) Pers.,shortbeard plumegrass
SACA,,Sabal causiarum (O.F. Cook) Becc.,Puerto Rico palmetto
SACA4,,Salix candida Flueggé ex Willd.,sageleaf willow
SACA5,,Salix caroliniana Michx.,coastal plain willow
SACO2,,Salix commutata Bebb,undergreen willow
SACO28,,Salix ×cottetii Kern.,Cottet willow
SACU,,Sagittaria cuneata Sheldon,arumleaf arrowhead
SADE10,,Salicornia depressa Standl.,Virginia glasswort
SADE10,SAVI,Salicornia virginica L.,
SADI,,Salix discolor Muhl.,pussy willow
SADO4,,Salvia dorrii (Kellogg) Abrams,purple sage
SADR,,Salix drummondiana Barratt ex Hook.,Drummond's willow
SAER,,Salix eriocephala Michx.,Missouri River willow
SAEX,,Salix exigua Nutt.,narrowleaf willow
SAFU,,Salix fuscescens Andersson,Alaska bog willow
SAGE2,,Salix geyeriana Andersson,Geyer willow
SAGI,,Saccharum giganteum (Walter) Pers.,sugarcane plumegrass
SAGL,,Salix glauca L.,grayleaf willow
SAGO,,Salix gooddingii C.R. Ball,Goodding's willow
SAHA,,Salix hastata L.,halberd willow
SAHO,,Salix hookeriana Barratt ex Hook.,dune willow
SAHU2,,Salix humilis Marshall,prairie willow
SAIN3,,Salix interior Rowlee,sandbar willow
SAIR,,Salix irrorata Andersson,dewystem willow
SALA2,,Sagittaria latifolia Willd.,broadleaf arrowhead
SALA6,,Salix lasiolepis Benth.,arroyo willow
SALE,,Salix lemmonii Bebb,Lemmon's willow
SALI,,Salix ligulifolia (C.R. Ball) C.R. Ball ex C.K. Schneid.,strapleaf willow
SALU,,Salix lucida Muhl.,shining willow
SALU2,,Salix lutea Nutt.,yellow willow
SALUL,,Salix lucida Muhl. ssp. lasiandra (Benth.) A.E. Murray,Pacific willow
SAMI3,,Sanguisorba minor Scop.,small burnet
SAMI8,,Sabal minor (Jacq.) Pers.,dwarf palmetto
SAMO2,,Salix monticola Bebb,park willow
SANI,,Salix nigra Marshall,black willow
SANI10,,Salix niphoclada Rydb.,barrenground willow
SANIC4,,Sambucus nigra L. ssp. canadensis (L.) R. Bolli,American black elderberry
SANIC5,,Sambucus nigra L. ssp. cerulea (Raf.) R. Bolli,blue elderberry
SAOF,,Saccharum officinarum L.,sugarcane
SAOF4,,Saponaria officinalis L.,bouncingbet
SAOR,,Salix orestera C.K. Schneid.,Sierra willow
SAPA,,Sabal palmetto (Walter) Lodd. ex Schult. & Schult. f.,cabbage palmetto
SAPE4,,Salix pentandra L.,laurel willow
SAPL,,Sagittaria platyphylla (Engelm.) J.G. Sm.,delta arrowhead
SAPL2,,Salix planifolia Pursh,diamondleaf willow
SAPO,,Salix polaris Wahlenb.,polar willow
SAPR3,,Salix prolixa Andersson,MacKenzie's willow
SAPU15,,Salix pulchra Cham.,tealeaf willow
SAPU2,,Salix purpurea L.,purpleosier willow
SARA3,,Saccharum ravennae (L.) L.,ravennagrass
SARAR3,,Sambucus racemosa L. var. racemosa,red elderberry
SARE2,,Salix reticulata L.,netleaf willow
SARI4,,Salix richardsonii Hook.,Richardson's willow
SARO2,,Salix rotundifolia Trautv.,least willow
SARU,,Salicornia rubra A. Nelson,red swampfire
SASA,,Sagina saginoides (L.) Karst.,arctic pearlwort
SASAD,,Sapindus saponaria L. var. drummondii (Hook. & Arn.) L.D. Benson,western soapberry
SASC,,Salix scouleriana Barratt ex Hook.,Scouler's willow
SASE,,Salix sericea Marshall,silky willow
SASE10,,Salix ×sepulcralis Simonkai [alba × babylonica],weeping willow
SASE3,,Salix sessilifolia Nutt.,northwest sandbar willow
SASE3,SAFL2,"Salix fluviatilis Nutt., nom. utique rej.",
SASI2,,Salix sitchensis Sanson ex Bong.,Sitka willow
SAST,,Sacciolepis striata (L.) Nash,American cupscale
SATA,,Salix taxifolia Kunth,yewleaf willow
SAVE4,,Sarcobatus vermiculatus (Hook.) Torr.,greasewood
SCACA,,Schoenoplectus acutus (Muhl. ex Bigelow) Á. Löve & D. Löve var. acutus,hardstem bulrush
SCAR7,,"Schedonorus arundinaceus (Schreb.) Dumort., nom. cons.",tall fescue
SCAR7,LOAR10,Lolium arundinaceum (Schreb.) S.J. Darbyshire,
SCAT2,,Scirpus atrovirens Willd.,green bulrush
SCCA11,,Schoenoplectus californicus (C.A. Mey.) Palla,California bulrush
SCCA21,,Scabiosa caucasica M. Bieb.,Caucasian pincushion flower
SCCY,,Scirpus cyperinus (L.) Kunth,woolgrass
SCFE,,Scolochloa festucacea (Willd.) Link,common rivergrass
SCGE2,,Scirpus georgianus Harper,Georgia bulrush
SCHE5,,Schoenoplectus heterochaetus (Chase) Soják,slender bulrush
SCMI2,,Scirpus microcarpus J. Presl & C. Presl,panicled bulrush
SCMO10,,"Schefflera morototonii (Aubl.) Maguire, Steyerm. & Frodin",matchwood
SCPA8,,Scirpus pallidus (Britton) Fernald,cloaked bulrush
SCPE3,,Scirpus pedicellatus Fernald,stalked bulrush
SCPE4,,Scirpus pendulus Muhl.,rufous bulrush
SCPR4,,Schedonorus pratensis (Huds.) P. Beauv.,meadow fescue
SCPR4,LOPR7,Lolium pratense (Huds.) S.J. Darbyshire,
SCPUP5,,Schoenoplectus pungens (Vahl) Palla var. pungens,common threesquare
SCSC,,Schizachyrium scoparium (Michx.) Nash,little bluestem
SCSCD,,Schizachyrium scoparium (Michx.) Nash var. divergens (Hack.) Gould,little bluestem
SCSE6,,Scaevola sericea Vahl,beach naupaka
SCTA2,,Schoenoplectus tabernaemontani (C.C. Gmel.) Palla,softstem bulrush
SCTE,,Schinus terebinthifolius Raddi,Brazilian peppertree
SCTE5,,Schizachyrium tenerum Nees,slender little bluestem
SECA23,,Sesbania cannabina (Retz.) Poir.,sesbania
SECE,,Secale cereale L.,cereal rye
SEGA2,,Senna gaudichaudii (Hook. & Arn.) Irwin & Barneby,Gaudichaud's senna
SEGI2,,Sequoiadendron giganteum (Lindl.) J. Buchholz,giant sequoia
SEGR4,,Senegalia greggii (A. Gray) Britton & Rose,catclaw acacia
SEGR4,ACGR,Acacia greggii A. Gray,
SEGR5,,Sesbania grandiflora (L.) Poir.,vegetable hummingbird
SEHY,,Senecio hydrophiloides Rydb.,tall groundsel
SEIN2,,Senecio integerrimus Nutt.,lambstongue ragwort
SEIT,,Setaria italica (L.) P. Beauv.,foxtail millet
SEMA11,,Senna marilandica (L.) Link,Maryland senna
SEPU8,,Setaria pumila (Poir.) Roem. & Schult.,yellow foxtail
SERE2,,Serenoa repens (W. Bartram) Small,saw palmetto
SESE3,,Sequoia sempervirens (Lamb. ex D. Don) Endl.,redwood
SETO3,,Sesbania tomentosa Hook. & Arn.,Oahu riverhemp
SETR,,Senecio triangularis Hook.,arrowleaf ragwort
SEVA4,,Securigera varia (L.) Lassen,crownvetch
SEVA4,COVA2,Coronilla varia L.,
SEVU,,Senecio vulgaris L.,old-man-in-the-Spring
SEVU2,,Setaria vulpiseta (Lam.) Roem. & Schult.,plains bristlegrass
SHAR,,Shepherdia argentea (Pursh) Nutt.,silver buffaloberry
SHCA,,Shepherdia canadensis (L.) Nutt.,russet buffaloberry
SIAN3,,Sisyrinchium angustifolium Mill.,narrowleaf blue-eyed grass
SICH,,Simmondsia chinensis (Link) C.K. Schneid.,jojoba
SIID,,Sisyrinchium idahoense E.P. Bicknell,Idaho blue-eyed grass
SILY,,Sideroxylon lycioides L.,buckthorn bully
SINE3,,Sidalcea neomexicana A. Gray,salt spring checkerbloom
SIOR,,Sidalcea oregana (Nutt. ex Torr. & A. Gray) A. Gray,Oregon checkerbloom
SIPE2,,Silphium perfoliatum L.,cup plant
SIRER2,,Sideroxylon reclinatum Michx. ssp. reclinatum,Florida bully
SLBE,,Sloanea berteriana Choisy ex DC.,bullwood
SMBO2,,Smilax bona-nox L.,saw greenbrier
SMGL,,Smilax glauca Walter,cat greenbrier
SMLA,,Smilax laurifolia L.,laurel greenbrier
SMRO,,Smilax rotundifolia L.,roundleaf greenbrier
SMSM,,Smilax smallii Morong,lanceleaf greenbrier
SMWA,,Smilax walteri Pursh,coral greenbrier
SOAL6,,Solidago altissima L.,Canada goldenrod
SOAL6,SOCAS5,Solidago canadensis L. var. scabra Torr. & A. Gray,
SOAM3,,Sorbus americana Marshall,American mountain ash
SOAU,,Sorbus aucuparia L.,European mountain ash
SOBI2,,Sorghum bicolor (L.) Moench,sorghum
SOBIB,,Sorghum bicolor (L.) Moench ssp. bicolor,grain sorghum
SOBID,,Sorghum bicolor (L.) Moench ssp. drummondii (Nees ex Steud.) de Wet & Harlan,Sudangrass
SOCA4,,Solidago caesia L.,wreath goldenrod
SOCA6,,Solidago canadensis L.,Canada goldenrod
SOCH,,Sophora chrysophylla (Salisb.) Seem.,mamani
SODE3,,Sorbus decora (Sarg.) C.K. Schneid.,northern mountain ash
SOFI,,Solidago fistulosa Mill.,pine barren goldenrod
SOFL2,,Solidago flexicaulis L.,zigzag goldenrod
SOGI,,Solidago gigantea Aiton,giant goldenrod
SOHA,,Sorghum halepense (L.) Pers.,Johnsongrass
SOLYL,,Solanum lycopersicum L. var. lycopersicum,garden tomato
SOME,,Solanum melongena L.,eggplant
SOMI2,,Solidago missouriensis Nutt.,Missouri goldenrod
SOMU,,Solidago multiradiata Aiton,Rocky Mountain goldenrod
SONE,,Solidago nemoralis Aiton,gray goldenrod
SONU2,,Sorghastrum nutans (L.) Nash,Indiangrass
SOPA2,,Solidago patula Muhl. ex Willd.,roundleaf goldenrod
SORU2,,Solidago rugosa Mill.,wrinkleleaf goldenrod
SOSC2,,Sorbus scopulina Greene,Greene's mountain ash
SOSE,,Solidago sempervirens L.,seaside goldenrod
SOSE3,,Sophora secundiflora (Ortega) Lag. ex DC.,mescal bean
SOSIG,,Sorbus sitchensis M. Roem. var. grayi (Wenzig) C.L. Hitchc.,western mountain ash
SOULU,,Solidago uliginosa Nutt. var. uliginosa,bog goldenrod
SPAI,,Sporobolus airoides (Torr.) Torr.,alkali sacaton
SPAL,,Spartina alterniflora Loisel.,smooth cordgrass
SPAL2,,Spiraea alba Du Roi,white meadowsweet
SPAM,,Sparganium americanum Nutt.,American bur-reed
SPAM2,,Sphaeralcea ambigua A. Gray,desert globemallow
SPBA,,Spartina bakeri Merr.,sand cordgrass
SPBE2,,Spiraea betulifolia Pall.,white spirea
SPCE,,Spiranthes cernua (L.) Rich.,nodding lady's tresses
SPCO,,Sphaeralcea coccinea (Nutt.) Rydb.,scarlet globemallow
SPCOC2,,Sporobolus compositus (Poir.) Merr. var. compositus,composite dropseed
SPCR,,Sporobolus cryptandrus (Torr.) A. Gray,sand dropseed
SPCY,,Spartina cynosuroides (L.) Roth,big cordgrass
SPDO,,Spiraea douglasii Hook.,rose spirea
SPEU,,Sparganium eurycarpum Engelm.,broadfruit bur-reed
SPFL2,,Sporobolus flexuosus (Thurb. ex Vasey) Rydb.,mesa dropseed
SPGR,,Spartina gracilis Trin.,alkali cordgrass
SPGR2,,Sphaeralcea grossulariifolia (Hook. & Arn.) Rydb.,gooseberryleaf globemallow
SPHE,,Sporobolus heterolepis (A. Gray) A. Gray,prairie dropseed
SPIN5,,Sporobolus interruptus Vasey,black dropseed
SPJA,,Spiraea japonica L. f.,Japanese meadowsweet
SPMO,,Spondias mombin L.,yellow mombin
SPMU2,,Sphaeralcea munroana (Douglas) Spach,Munro's globemallow
SPOB,,Sphenopholis obtusata (Michx.) Scribn.,prairie wedgescale
SPPA,,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass
SPPE,,Spartina pectinata Bosc ex Link,prairie cordgrass
SPPO,,Spirodela polyrrhiza (L.) Schleid.,common duckmeat
SPPR,,Spiraea prunifolia Siebold & Zucc.,bridalwreath spirea
SPRO,,Spiranthes romanzoffiana Cham.,hooded lady's tresses
SPSP,,Spartina spartinae (Trin.) Merr. ex Hitchc.,gulf cordgrass
SPTO2,,Spiraea tomentosa L.,steeplebush
SPTR2,,Spiraea trilobata L.,Asian meadowsweet
SPVI3,,Sporobolus virginicus (L.) Kunth,seashore dropseed
SPWR2,,Sporobolus wrightii Munro ex Scribn.,big sacaton
STAM4,,Styrax americanus Lam.,American snowbell
STARA,,Stenotus armerioides Nutt. var. armerioides,thrift mock goldenweed
STFIF,,Stuckenia filiformis (Pers.) Börner ssp. filiformis,fineleaf pondweed
STGR4,,Styrax grandifolius Aiton,bigleaf snowbell
STLO,,Stellaria longifolia Muhl. ex Willd.,longleaf starwort
STLO2,,Stellaria longipes Goldie,longstalk starwort
STMO,,Stahlia monosperma (Tul.) Urb.,cobana negra
STNI,,Stellaria nitens Nutt.,shiny chickweed
STPA,,Stachys palustris L.,marsh hedgenettle
STPE15,,Stuckenia pectinata (L.) Börner,sago pondweed
STPE15,STPE12,"Stuckenia pectinatus (L.) Börner, database artifact",
STSE,,Stenotaphrum secundatum (Walter) Kuntze,St. Augustine grass
STTE,,Stachys tenuifolia Willd.,smooth hedgenettle
STUM,,Stellaria umbellata Turcz. ex Kar. & Kir.,umbrella starwort
SWMA,,Swietenia macrophylla King,Honduras mahogany
SWMA2,,Swietenia mahagoni (L.) Jacq.,West Indian mahogany
SYAL,,Symphoricarpos albus (L.) S.F. Blake,common snowberry
SYCHC,,Symphyotrichum chilense (Nees) G.L. Nesom var. chilense,Pacific aster
SYCHI,,Symphyotrichum chilense (Nees) G.L. Nesom var. invenustum (Greene) G.L. Nesom,Pacific aster
SYCO4,,Symphyotrichum cordifolium (L.) G.L. Nesom,common blue wood aster
SYCU,,Syzygium cumini (L.) Skeels,Java plum
SYFO,,Symplocarpus foetidus (L.) Salisb. ex W.P.C. Barton,skunk cabbage
SYFOF,,Symphyotrichum foliaceum (Lindl. ex DC.) G.L. Nesom var. foliaceum,alpine leafybract aster
SYLAH6,,Symphyotrichum lanceolatum (Willd.) G.L. Nesom ssp. hesperium (A. Gray) G.L. Nesom var. hesperium,white panicle aster
SYLAH7,,Symphyotrichum lanceolatum (Willd.) G.L. Nesom ssp. lanceolatum var. hirsuticaule (Semple & Chmielewski) G.L. Nesom,white panicle aster
SYLAL3,,Symphyotrichum laeve (L.) Á. Löve & D. Löve var. laeve,smooth blue aster
SYLAL7,,Symphyotrichum lateriflorum (L.) Á. Löve & D. Löve var. lateriflorum,calico aster
SYLAL7,SYLAH4,Symphyotrichum lateriflorum (L.) Á. Löve & D. Löve var. hirsuticaule (Lindl. ex DC.) G.L. Nesom,
SYNON,,Symphyotrichum novi-belgii (L.) G.L. Nesom var. novi-belgii,New York aster
SYOC,,Symphoricarpos occidentalis Hook.,western snowberry
SYOR,,Symphoricarpos orbiculatus Moench,coralberry
SYOR2,,Symphoricarpos oreophilus A. Gray,mountain snowberry
SYPAP2,,Symphyotrichum patens (Aiton) G.L. Nesom var. patens,late purple aster
SYPIP3,,Symphyotrichum pilosum (Willd.) G.L. Nesom var. pilosum,hairy white oldfield aster
SYPR6,,Symphyotrichum prenanthoides (Muhl. ex Willd.) G.L. Nesom,crookedstem aster
SYPUP,,Symphyotrichum puniceum (L.) Á. Löve & D. Löve var. puniceum,purplestem aster
SYSU5,,Symphyotrichum subulatum (Michx.) G.L. Nesom,eastern annual saltmarsh aster
SYSUS,,Symphyotrichum subspicatum (Nees) G.L. Nesom var. subspicatum,Douglas aster
SYTI,,Symplocos tinctoria (L.) L'Hér.,common sweetleaf
SYVI3,,Syringa villosa Vahl,villous lilac
SYVU,,Syringa vulgaris L.,common lilac
TAAS,,Taxodium ascendens Brongn.,pond cypress
TABA80,,Taxus baccata L.,English yew
TABR2,,Taxus brevifolia Nutt.,Pacific yew
TACA7,,Taxus canadensis Marshall,Canada yew
TACU,,Taxus cuspidata Siebold & Zucc.,Japanese yew
TADI2,,Taxodium distichum (L.) Rich.,bald cypress
TAHE,,Tabebuia heterophylla (DC.) Britton,white cedar
TAIN2,,Tamarindus indica L.,tamarind
TAME2,,Taxus ×media Rehder [baccata × cuspidata],hybrid yew
TAOF,,Taraxacum officinale F.H. Wigg.,common dandelion
TECA,,Terminalia catappa L.,tropical almond
TECA2,,Tetradymia canescens DC.,spineless horsebrush
TECA3,,Teucrium canadense L.,Canada germander
TEGL,,Tetradymia glabrata Torr. & A. Gray,littleleaf horsebrush
TESP2,,Tetradymia spinosa Hook. & Arn.,shortspine horsebrush
TEST,,Tecoma stans (L.) Juss. ex Kunth,yellow trumpetbush
THGR2,,Thespesia grandiflora DC.,maga
THIN6,,Thinopyrum intermedium (Host) Barkworth & D.R. Dewey,intermediate wheatgrass
THMO,,Thamnosma montana Torr. & Frém.,turpentinebroom
THNO,,Thelypteris noveboracensis (L.) Nieuwl.,New York fern
THOC2,,Thuja occidentalis L.,arborvitae
THPL,,Thuja plicata Donn ex D. Don,western redcedar
THPO3,,Thespesia populnea (L.) Sol. ex Corrêa,Portia tree
THPO7,,Thinopyrum ponticum (Podp.) Z.-W. Liu & R.-C. Wang,tall wheatgrass
TIAM,,Tilia americana L.,American basswood
TIAMH,,Tilia americana L. var. heterophylla (Vent.) Loudon,American basswood
TICO2,,Tilia cordata Mill.,littleleaf linden
TIUS,,Tillandsia usneoides (L.) L.,Spanish moss
TOTA,,Torreya taxifolia Arn.,Florida nutmeg
TRAE,,Triticum aestivum L.,common wheat
TRAL6,,Trifolium alexandrinum L.,Egyptian clover
TRAM15,,Trifolium ambiguum M. Bieb.,Kura clover
TRCA21,,Trisetum canescens Buckley,tall trisetum
TRCE3,,Trichophorum cespitosum (L.) Hartm.,tufted bulrush
TRCE3,TRCA30,"Trichophorum caespitosum (L.) Hartm., orth. var.",
TRDA3,,Tripsacum dactyloides (L.) L.,eastern gamagrass
TRDU,,Tragopogon dubius Scop.,yellow salsify
TRFL2,,Tridens flavus (L.) Hitchc.,purpletop tridens
TRFR2,,Trifolium fragiferum L.,strawberry clover
TRGR7,,Triteleia grandiflora Lindl.,largeflower triteleia
TRHI3,,Trichilia hirta L.,broomstick
TRHI4,,Trifolium hirtum All.,rose clover
TRHY,,Trifolium hybridum L.,alsike clover
TRIN3,,Trifolium incarnatum L.,crimson clover
TRJA,,Trachelospermum jasminoides (Lindl.) Lem.,confederate jasmine
TRLO,,Trifolium longipes Nutt.,longstalk clover
TRMA3,,Trifolium macrocephalum (Pursh) Poir.,largehead clover
TRMI2,,Trema micrantha (L.) Blume,Jamaican nettletree
TRNI3,,Trifolium nigrescens Viv.,small white clover
